mse,r2,oob,tunnuste_arv,tunnused
-0.19,0.95049820837987,0.641,45,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'SPS', 'qed', 'FpDensityMorgan1', 'EState_VSA4', 'VSA_EState9', 'PEOE_VSA8', 'BCUT2D_MRHI', 'Ipc', 'SMR_VSA10', 'PEOE_VSA2', 'PEOE_VSA7', 'MinAbsEStateIndex', 'MolWt', 'BCUT2D_MRLOW', 'MolLogP', 'VSA_EState7', 'EState_VSA7', 'VSA_EState5', 'SMR_VSA7', 'MaxPartialCharge', 'EState_VSA5', 'PEOE_VSA9', 'BCUT2D_LOGPHI', 'PEOE_VSA3', 'BCUT2D_LOGPLOW', 'BCUT2D_CHGLO', 'BCUT2D_CHGHI', 'MinEStateIndex', 'MaxAbsEStateIndex', 'EState_VSA3', 'BalabanJ', 'SlogP_VSA1', 'MinPartialCharge', 'VSA_EState8', 'PEOE_VSA6', 'SMR_VSA6']"
-0.193,0.9509548634125392,0.643,40,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'qed', 'SPS', 'SMR_VSA10', 'EState_VSA4', 'FpDensityMorgan1', 'VSA_EState9', 'PEOE_VSA8', 'BCUT2D_MRHI', 'MolWt', 'PEOE_VSA2', 'BCUT2D_MRLOW', 'Ipc', 'MinAbsEStateIndex', 'PEOE_VSA7', 'PEOE_VSA3', 'SMR_VSA7', 'VSA_EState5', 'BCUT2D_LOGPHI', 'MolLogP', 'EState_VSA7', 'BCUT2D_LOGPLOW', 'MaxPartialCharge', 'EState_VSA5', 'MinEStateIndex', 'PEOE_VSA9', 'VSA_EState8', 'BCUT2D_CHGLO', 'BalabanJ', 'VSA_EState7', 'MaxAbsEStateIndex', 'MinPartialCharge']"
-0.19,0.9512301860233997,0.646,36,"['HallKierAlpha', 'SlogP_VSA8', 'AvgIpc', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'NumAmideBonds', 'SPS', 'EState_VSA4', 'SMR_VSA10', 'PEOE_VSA8', 'VSA_EState9', 'MolWt', 'BCUT2D_MRHI', 'FpDensityMorgan1', 'BCUT2D_MRLOW', 'qed', 'Ipc', 'PEOE_VSA2', 'MinAbsEStateIndex', 'BCUT2D_LOGPHI', 'MolLogP', 'PEOE_VSA7', 'BCUT2D_LOGPLOW', 'PEOE_VSA3', 'VSA_EState5', 'SMR_VSA7', 'EState_VSA7', 'EState_VSA5', 'MinEStateIndex', 'PEOE_VSA9', 'BalabanJ', 'VSA_EState7', 'MaxAbsEStateIndex']"
-0.188,0.95184530585012,0.648,32,"['HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'SPS', 'NumAmideBonds', 'EState_VSA4', 'qed', 'VSA_EState9', 'PEOE_VSA8', 'MolWt', 'SMR_VSA10', 'BCUT2D_MRHI', 'BCUT2D_MRLOW', 'FpDensityMorgan1', 'VSA_EState5', 'PEOE_VSA2', 'MolLogP', 'MinAbsEStateIndex', 'BCUT2D_LOGPHI', 'PEOE_VSA7', 'PEOE_VSA3', 'Ipc', 'SMR_VSA7', 'MaxAbsEStateIndex', 'BCUT2D_LOGPLOW', 'VSA_EState7', 'EState_VSA7']"
-0.196,0.95149879407849,0.65,28,"['HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'SPS', 'NumAmideBonds', 'qed', 'EState_VSA4', 'SMR_VSA10', 'PEOE_VSA8', 'VSA_EState9', 'BCUT2D_MRHI', 'FpDensityMorgan1', 'BCUT2D_MRLOW', 'PEOE_VSA2', 'MolWt', 'MinAbsEStateIndex', 'PEOE_VSA7', 'Ipc', 'VSA_EState5', 'PEOE_VSA3', 'MolLogP', 'BCUT2D_LOGPHI', 'SMR_VSA7']"
-0.192,0.9511292351666516,0.647,25,"['HallKierAlpha', 'AvgIpc', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'fr_NH2', 'SPS', 'SMR_VSA10', 'qed', 'NumAmideBonds', 'VSA_EState5', 'EState_VSA4', 'VSA_EState9', 'PEOE_VSA8', 'BCUT2D_MRLOW', 'MolWt', 'BCUT2D_MRHI', 'MolLogP', 'PEOE_VSA7', 'FpDensityMorgan1', 'PEOE_VSA2', 'MinAbsEStateIndex', 'BCUT2D_LOGPHI']"
-0.194,0.9513952452324932,0.65,22,"['HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'VSA_EState2', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'SMR_VSA10', 'EState_VSA4', 'fr_NH2', 'SPS', 'MolWt', 'NumAmideBonds', 'qed', 'BCUT2D_MRLOW', 'PEOE_VSA8', 'VSA_EState9', 'BCUT2D_MRHI', 'BCUT2D_LOGPHI', 'PEOE_VSA7', 'FpDensityMorgan1', 'MolLogP']"
-0.188,0.9516053058961342,0.647,19,"['HallKierAlpha', 'AvgIpc', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'SMR_VSA10', 'EState_VSA4', 'qed', 'VSA_EState9', 'SPS', 'fr_NH2', 'BCUT2D_MRLOW', 'NumAmideBonds', 'MolLogP', 'PEOE_VSA7', 'MolWt', 'BCUT2D_MRHI']"
-0.186,0.9545782553973257,0.673,17,"['HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'SPS', 'SMR_VSA10', 'VSA_EState9', 'fr_NH2', 'EState_VSA4', 'MolWt', 'BCUT2D_MRLOW', 'PEOE_VSA7', 'qed', 'NumAmideBonds']"
-0.194,0.9531823430142796,0.663,15,"['HallKierAlpha', 'AvgIpc', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'VSA_EState1', 'VSA_EState4', 'SPS', 'VSA_EState9', 'MolWt', 'SMR_VSA10', 'BCUT2D_MRLOW', 'PEOE_VSA7', 'EState_VSA4', 'qed']"
