,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.209,0.626
"('AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.216,0.626
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8')",6,-0.209,0.624
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SPS')",7,-0.211,0.624
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.215,0.624
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS')",5,-0.19,0.623
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.198,0.623
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",5,-0.2,0.623
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",7,-0.212,0.623
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8')",5,-0.223,0.623
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.223,0.623
"('AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.236,0.623
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",5,-0.187,0.622
"('VSA_EState2', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.204,0.622
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",7,-0.207,0.622
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",7,-0.213,0.622
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",5,-0.195,0.621
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.201,0.621
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.198,0.62
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.209,0.62
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.19,0.619
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",5,-0.195,0.618
"('SlogP_VSA8', 'SMR_VSA3')",2,-0.203,0.618
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.209,0.618
"('VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.216,0.618
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",4,-0.184,0.617
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.198,0.617
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.201,0.617
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.201,0.617
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.21,0.617
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3', 'SPS')",8,-0.216,0.617
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",8,-0.222,0.617
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SPS')",4,-0.185,0.616
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.203,0.616
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SPS')",6,-0.216,0.616
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SPS')",6,-0.218,0.616
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.224,0.616
"('VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.213,0.615
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.222,0.615
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SPS')",4,-0.193,0.614
"('AvgIpc', 'TPSA', 'SlogP_VSA8', 'SPS')",4,-0.194,0.614
"('HallKierAlpha', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.21,0.614
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.205,0.613
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8')",6,-0.215,0.613
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.21,0.612
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",8,-0.21,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.211,0.612
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8')",6,-0.212,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.214,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8')",6,-0.215,0.612
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",7,-0.219,0.612
"('VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.223,0.611
"('HallKierAlpha', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.227,0.611
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",6,-0.2,0.61
"('VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.208,0.61
"('VSA_EState2', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.212,0.61
"('VSA_EState2', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.227,0.61
"('AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",4,-0.205,0.609
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",7,-0.209,0.609
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",7,-0.209,0.609
"('TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",4,-0.199,0.608
"('HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.199,0.608
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.203,0.608
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",6,-0.204,0.608
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",7,-0.232,0.608
"('VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.219,0.607
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8')",5,-0.221,0.607
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8')",4,-0.206,0.606
"('AvgIpc', 'TPSA', 'VSA_EState1', 'SPS')",4,-0.21,0.606
"('HallKierAlpha', 'AvgIpc', 'SlogP_VSA8', 'SPS')",4,-0.21,0.606
"('HallKierAlpha', 'AvgIpc', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",5,-0.21,0.606
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SPS')",5,-0.213,0.606
"('VSA_EState2', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.214,0.606
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.215,0.606
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3', 'SPS')",7,-0.217,0.606
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3', 'SPS')",7,-0.219,0.606
"('VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.22,0.606
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.196,0.605
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8')",5,-0.212,0.605
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SlogP_VSA8')",5,-0.215,0.605
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",7,-0.229,0.605
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8')",4,-0.207,0.604
"('VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",4,-0.229,0.604
"('AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.234,0.604
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SPS')",7,-0.206,0.603
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'VSA_EState4', 'SlogP_VSA8')",5,-0.208,0.603
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.198,0.602
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.199,0.602
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",6,-0.212,0.602
"('HallKierAlpha', 'VSA_EState4', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.213,0.601
"('HallKierAlpha', 'AvgIpc', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3', 'SPS')",6,-0.219,0.601
"('AvgIpc', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",4,-0.242,0.601
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",6,-0.21,0.6
"('HallKierAlpha', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SMR_VSA3', 'SPS')",7,-0.215,0.6
"('AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.219,0.6
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1')",6,-0.22,0.6
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.224,0.6
"('AvgIpc', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8')",5,-0.226,0.6
"('HallKierAlpha', 'VSA_EState2', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",5,-0.208,0.599
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3')",6,-0.211,0.599
"('HallKierAlpha', 'VSA_EState2', 'AvgIpc', 'TPSA', 'VSA_EState1', 'SMR_VSA3', 'SPS')",7,-0.223,0.599
"('VSA_EState4', 'VSA_EState1', 'SlogP_VSA8', 'SMR_VSA3', 'SPS')",5,-0.239,0.599
"('TPSA', 'SlogP_VSA8', 'SPS')",3,-0.187,0.598
"('TPSA', 'VSA_EState4', 'SlogP_VSA8', 'SPS')",4,-0.202,0.598
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'SPS')",5,-0.209,0.598
