,nr_tunnused,mse,oob
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.213,0.632
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",8,-0.208,0.631
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.186,0.63
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.194,0.63
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.202,0.63
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",7,-0.203,0.63
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.219,0.63
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.223,0.63
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",4,-0.188,0.629
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'AvgIpc')",6,-0.198,0.629
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.204,0.629
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.207,0.629
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.208,0.629
"('TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",3,-0.183,0.628
"('SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.206,0.628
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.206,0.628
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.21,0.628
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",7,-0.21,0.628
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",5,-0.189,0.627
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.2,0.627
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.208,0.627
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.233,0.627
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.197,0.626
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'AvgIpc')",5,-0.207,0.626
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.21,0.626
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.209,0.625
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",6,-0.204,0.624
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.208,0.624
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.208,0.624
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.211,0.624
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.213,0.624
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",6,-0.198,0.623
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.206,0.623
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.187,0.622
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.2,0.622
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.207,0.622
"('TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.198,0.621
"('TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.205,0.621
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",7,-0.206,0.621
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.21,0.621
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",7,-0.212,0.621
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.222,0.621
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.206,0.62
"('SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",4,-0.209,0.62
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",7,-0.221,0.62
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.222,0.62
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",5,-0.228,0.62
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.195,0.619
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.201,0.619
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.222,0.619
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.189,0.618
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.2,0.618
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",6,-0.202,0.618
"('SlogP_VSA8', 'SMR_VSA3')",2,-0.203,0.618
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.207,0.618
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",6,-0.212,0.618
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.223,0.618
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.226,0.618
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.196,0.616
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",6,-0.208,0.616
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",7,-0.21,0.616
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.211,0.616
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'BertzCT', 'AvgIpc')",5,-0.201,0.615
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.203,0.615
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",6,-0.206,0.615
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'AvgIpc')",5,-0.217,0.615
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",4,-0.192,0.614
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",4,-0.199,0.614
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.205,0.614
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.208,0.614
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.212,0.614
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.213,0.614
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.22,0.614
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.25,0.614
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.203,0.613
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.207,0.613
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",8,-0.212,0.613
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",8,-0.219,0.613
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",5,-0.195,0.612
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",7,-0.21,0.612
"('SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.213,0.612
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",4,-0.206,0.611
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.206,0.611
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",5,-0.211,0.611
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.217,0.611
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.22,0.611
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",4,-0.223,0.611
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",5,-0.206,0.61
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",7,-0.206,0.61
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.213,0.61
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",7,-0.216,0.61
"('SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.238,0.61
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.207,0.609
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",5,-0.209,0.609
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.216,0.609
"('SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.217,0.609
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.209,0.608
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.217,0.608
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.217,0.608
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",6,-0.218,0.608
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.224,0.608
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",4,-0.209,0.607
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",5,-0.214,0.607
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",4,-0.219,0.607
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.221,0.607
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.223,0.607
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.246,0.607
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT')",4,-0.196,0.606
"('VSA_EState2', 'TPSA', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.203,0.606
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.217,0.606
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.217,0.606
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.201,0.605
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.209,0.605
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",6,-0.219,0.605
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",6,-0.207,0.604
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",5,-0.209,0.604
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",5,-0.21,0.604
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",7,-0.223,0.604
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",4,-0.226,0.604
