,nr_tunnused,mse,oob
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.236,0.598
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.207,0.597
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",7,-0.211,0.597
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",5,-0.214,0.597
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",4,-0.216,0.597
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.224,0.597
"('VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.236,0.597
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.236,0.597
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",4,-0.242,0.597
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",5,-0.207,0.596
"('VSA_EState2', 'TPSA', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.208,0.596
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",5,-0.216,0.596
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.216,0.596
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.222,0.596
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",7,-0.213,0.595
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",6,-0.215,0.595
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.225,0.595
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.227,0.595
"('TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.233,0.595
"('VSA_EState2', 'TPSA', 'BCUT2D_LOGPHI')",3,-0.202,0.594
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.204,0.594
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.217,0.594
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.227,0.594
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",6,-0.207,0.593
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8')",3,-0.208,0.593
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT', 'AvgIpc')",5,-0.221,0.593
"('TPSA', 'SlogP_VSA8', 'BertzCT')",3,-0.189,0.592
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",5,-0.207,0.592
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",6,-0.209,0.592
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.211,0.592
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",6,-0.223,0.592
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.228,0.592
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4')",4,-0.21,0.591
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT')",3,-0.212,0.591
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.218,0.591
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.224,0.591
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.224,0.591
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT')",5,-0.209,0.59
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",4,-0.211,0.59
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.217,0.59
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.235,0.59
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'AvgIpc')",4,-0.214,0.589
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",4,-0.221,0.589
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.221,0.589
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT')",5,-0.227,0.589
"('HallKierAlpha', 'TPSA', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.229,0.589
"('HallKierAlpha', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.232,0.589
"('VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",4,-0.239,0.589
"('SlogP_VSA8', 'VSA_EState4', 'BertzCT')",3,-0.257,0.589
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",4,-0.197,0.588
"('VSA_EState2', 'TPSA', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.207,0.588
"('TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.211,0.588
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",5,-0.211,0.588
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.219,0.588
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.224,0.588
"('HallKierAlpha', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.233,0.588
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.237,0.588
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4')",5,-0.208,0.587
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.223,0.587
"('TPSA', 'BertzCT', 'BCUT2D_LOGPHI')",3,-0.224,0.587
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.224,0.587
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",6,-0.219,0.586
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.223,0.586
"('HallKierAlpha', 'SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.227,0.586
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.205,0.585
"('TPSA', 'SlogP_VSA8', 'VSA_EState4')",3,-0.208,0.585
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.211,0.585
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",4,-0.223,0.585
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",6,-0.225,0.585
"('VSA_EState2', 'HallKierAlpha', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.226,0.585
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.236,0.585
"('VSA_EState2', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.24,0.585
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3')",3,-0.195,0.584
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT')",4,-0.207,0.584
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.214,0.584
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",6,-0.215,0.584
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",5,-0.217,0.584
"('SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.252,0.584
"('SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",3,-0.221,0.583
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'BertzCT')",4,-0.224,0.583
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'BertzCT', 'AvgIpc')",5,-0.23,0.583
"('TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.232,0.583
"('HallKierAlpha', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.233,0.583
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.223,0.582
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.205,0.581
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.21,0.581
"('SlogP_VSA8', 'BertzCT', 'AvgIpc')",3,-0.23,0.581
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",5,-0.231,0.581
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.232,0.581
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.221,0.579
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.221,0.579
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.237,0.579
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",5,-0.214,0.578
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4')",4,-0.223,0.578
"('TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.22,0.577
"('TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",4,-0.203,0.576
"('TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI')",3,-0.216,0.576
"('SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.22,0.576
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",5,-0.222,0.576
"('SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",3,-0.226,0.576
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'BertzCT', 'AvgIpc')",5,-0.226,0.576
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",5,-0.21,0.575
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.23,0.575
"('VSA_EState2', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.238,0.575
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.24,0.575
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.22,0.574
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'BCUT2D_LOGPHI')",4,-0.222,0.574
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'AvgIpc')",5,-0.222,0.574
"('HallKierAlpha', 'SlogP_VSA8', 'AvgIpc')",3,-0.228,0.574
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.229,0.574
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.231,0.574
"('TPSA', 'SlogP_VSA8')",2,-0.202,0.573
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SlogP_VSA8')",4,-0.21,0.573
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",5,-0.219,0.573
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.222,0.573
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI')",5,-0.223,0.573
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.235,0.573
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.235,0.573
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",5,-0.235,0.573
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.217,0.572
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.227,0.572
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.229,0.572
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.232,0.572
"('VSA_EState2', 'TPSA', 'BertzCT', 'AvgIpc')",4,-0.212,0.571
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'SMR_VSA3')",4,-0.213,0.571
"('SlogP_VSA8', 'SMR_VSA3', 'BCUT2D_LOGPHI')",3,-0.218,0.571
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'AvgIpc')",4,-0.222,0.571
"('TPSA', 'BCUT2D_LOGPHI')",2,-0.226,0.571
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.233,0.571
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.234,0.571
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.223,0.57
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",4,-0.24,0.57
"('TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.244,0.57
"('VSA_EState2', 'TPSA', 'SlogP_VSA8')",3,-0.205,0.569
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.21,0.569
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",5,-0.22,0.569
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'BertzCT')",4,-0.222,0.569
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.232,0.569
"('VSA_EState4', 'BertzCT', 'AvgIpc')",3,-0.25,0.569
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",4,-0.217,0.568
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.225,0.568
"('HallKierAlpha', 'TPSA', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.236,0.568
"('VSA_EState2', 'TPSA', 'VSA_EState4', 'AvgIpc')",4,-0.21,0.567
"('TPSA', 'BCUT2D_LOGPHI', 'AvgIpc')",3,-0.232,0.567
"('VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.252,0.567
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.242,0.566
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'BertzCT')",4,-0.235,0.565
"('SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",3,-0.269,0.565
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8')",3,-0.225,0.564
"('TPSA', 'SlogP_VSA8', 'AvgIpc')",3,-0.211,0.563
"('TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",4,-0.211,0.563
"('VSA_EState2', 'HallKierAlpha', 'SlogP_VSA8', 'BertzCT')",4,-0.221,0.563
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3')",4,-0.227,0.563
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",6,-0.23,0.563
"('HallKierAlpha', 'TPSA', 'BCUT2D_LOGPHI')",3,-0.238,0.563
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.215,0.562
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.23,0.562
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT')",5,-0.233,0.562
"('TPSA', 'SMR_VSA3', 'BCUT2D_LOGPHI')",3,-0.229,0.561
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4')",4,-0.233,0.561
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",4,-0.235,0.561
"('SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.244,0.561
"('VSA_EState4', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.257,0.561
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3')",5,-0.226,0.56
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4', 'BertzCT')",4,-0.232,0.56
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.226,0.559
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",5,-0.245,0.559
"('HallKierAlpha', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.253,0.559
"('HallKierAlpha', 'VSA_EState4', 'BertzCT', 'AvgIpc')",4,-0.237,0.558
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",3,-0.25,0.558
"('VSA_EState2', 'HallKierAlpha', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.229,0.557
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",4,-0.235,0.557
"('HallKierAlpha', 'TPSA', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.229,0.556
"('VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3')",3,-0.221,0.555
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'BertzCT')",4,-0.235,0.555
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'BertzCT')",4,-0.237,0.555
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'SMR_VSA3', 'AvgIpc')",5,-0.244,0.555
"('VSA_EState2', 'SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.223,0.554
"('HallKierAlpha', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",4,-0.231,0.553
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'BCUT2D_LOGPHI')",4,-0.234,0.553
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.231,0.552
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3')",3,-0.234,0.552
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",4,-0.239,0.552
"('SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",3,-0.254,0.552
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4')",3,-0.24,0.551
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.237,0.55
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",5,-0.248,0.55
"('HallKierAlpha', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",3,-0.231,0.549
"('VSA_EState2', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.233,0.549
"('VSA_EState2', 'VSA_EState4', 'BertzCT', 'AvgIpc')",4,-0.242,0.549
"('VSA_EState2', 'TPSA', 'VSA_EState4')",3,-0.226,0.548
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.226,0.548
"('SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",3,-0.231,0.548
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",5,-0.237,0.547
"('HallKierAlpha', 'TPSA', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.239,0.547
"('VSA_EState4', 'BCUT2D_LOGPHI', 'AvgIpc')",3,-0.248,0.547
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.232,0.546
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'SMR_VSA3')",4,-0.233,0.546
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",5,-0.234,0.546
"('VSA_EState4', 'BertzCT', 'BCUT2D_LOGPHI')",3,-0.251,0.546
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'AvgIpc')",4,-0.227,0.545
"('VSA_EState2', 'HallKierAlpha', 'BertzCT', 'AvgIpc')",4,-0.229,0.545
"('VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'BCUT2D_LOGPHI')",4,-0.23,0.545
"('VSA_EState2', 'HallKierAlpha', 'TPSA')",3,-0.235,0.545
"('HallKierAlpha', 'TPSA', 'BertzCT', 'AvgIpc')",4,-0.248,0.545
"('VSA_EState4', 'SMR_VSA3', 'BCUT2D_LOGPHI')",3,-0.255,0.545
"('VSA_EState2', 'TPSA', 'BertzCT')",3,-0.227,0.544
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'BCUT2D_LOGPHI')",4,-0.24,0.542
"('VSA_EState2', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.244,0.542
"('BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",3,-0.257,0.542
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT')",3,-0.227,0.541
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3', 'AvgIpc')",4,-0.228,0.541
"('VSA_EState2', 'SlogP_VSA8', 'AvgIpc')",3,-0.229,0.541
"('VSA_EState2', 'HallKierAlpha', 'BCUT2D_LOGPHI')",3,-0.239,0.541
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4', 'BertzCT')",4,-0.249,0.541
"('VSA_EState2', 'VSA_EState4', 'BCUT2D_LOGPHI')",3,-0.234,0.54
"('VSA_EState2', 'SMR_VSA3', 'BCUT2D_LOGPHI')",3,-0.236,0.54
"('VSA_EState2', 'TPSA', 'SMR_VSA3', 'AvgIpc')",4,-0.238,0.54
"('SlogP_VSA8', 'BCUT2D_LOGPHI', 'AvgIpc')",3,-0.247,0.54
"('VSA_EState2', 'HallKierAlpha', 'TPSA', 'AvgIpc')",4,-0.236,0.539
"('HallKierAlpha', 'SMR_VSA3', 'BCUT2D_LOGPHI')",3,-0.238,0.539
"('TPSA', 'VSA_EState4', 'AvgIpc')",3,-0.236,0.538
"('VSA_EState4', 'SMR_VSA3', 'AvgIpc')",3,-0.257,0.538
"('VSA_EState2', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI', 'AvgIpc')",5,-0.24,0.536
"('SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",3,-0.253,0.536
"('VSA_EState2', 'VSA_EState4', 'BertzCT')",3,-0.26,0.536
"('VSA_EState2', 'SlogP_VSA8', 'BCUT2D_LOGPHI')",3,-0.223,0.535
"('VSA_EState2', 'HallKierAlpha', 'SMR_VSA3')",3,-0.233,0.534
"('VSA_EState2', 'VSA_EState4', 'SMR_VSA3')",3,-0.24,0.534
"('VSA_EState2', 'TPSA', 'SMR_VSA3')",3,-0.24,0.534
"('HallKierAlpha', 'VSA_EState4', 'AvgIpc')",3,-0.241,0.534
"('TPSA', 'VSA_EState4', 'BertzCT')",3,-0.233,0.532
"('HallKierAlpha', 'SMR_VSA3', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.246,0.532
"('VSA_EState2', 'HallKierAlpha', 'BertzCT', 'BCUT2D_LOGPHI')",4,-0.248,0.531
"('TPSA', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",4,-0.242,0.53
"('SlogP_VSA8', 'BCUT2D_LOGPHI')",2,-0.251,0.529
"('HallKierAlpha', 'TPSA', 'VSA_EState4', 'BertzCT')",4,-0.239,0.528
"('SMR_VSA3', 'BertzCT', 'AvgIpc')",3,-0.274,0.526
"('TPSA', 'BertzCT', 'AvgIpc')",3,-0.253,0.525
"('VSA_EState2', 'HallKierAlpha', 'VSA_EState4')",3,-0.257,0.525
"('VSA_EState4', 'SMR_VSA3', 'BertzCT')",3,-0.262,0.524
"('HallKierAlpha', 'SlogP_VSA8', 'VSA_EState4')",3,-0.243,0.523
"('HallKierAlpha', 'TPSA', 'VSA_EState4')",3,-0.25,0.523
"('VSA_EState2', 'SMR_VSA3', 'BCUT2D_LOGPHI', 'AvgIpc')",4,-0.253,0.521
"('TPSA', 'SMR_VSA3', 'BertzCT', 'AvgIpc')",4,-0.254,0.521
"('HallKierAlpha', 'VSA_EState4', 'SMR_VSA3', 'BertzCT')",4,-0.255,0.519
"('HallKierAlpha', 'BCUT2D_LOGPHI', 'AvgIpc')",3,-0.264,0.518
"('HallKierAlpha', 'BertzCT', 'AvgIpc')",3,-0.257,0.517
"('VSA_EState2', 'HallKierAlpha', 'AvgIpc')",3,-0.242,0.516
"('VSA_EState2', 'BertzCT', 'BCUT2D_LOGPHI')",3,-0.251,0.516
