,nr_tunnused,mse,oob
"('SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)')",3,-0.552,0.595
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO')",3,-0.552,0.595
"('SdssC', 'SdO', 'SpMin1_Bh(v)')",3,-0.578,0.595
"('SpDiam_B(i)', 'SdssC', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.584,0.594
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.584,0.594
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SpMin1_Bh(v)')",4,-0.584,0.593
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SpMin1_Bh(v)')",3,-0.585,0.593
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SpMin1_Bh(v)')",3,-0.599,0.593
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",6,-0.591,0.592
"('SpDiam_B(e)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",3,-0.599,0.592
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.568,0.591
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.57,0.591
"('SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.571,0.591
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",5,-0.587,0.591
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",7,-0.555,0.59
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.595,0.589
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)')",3,-0.625,0.589
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.561,0.588
"('SdssC', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",3,-0.582,0.588
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.552,0.586
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",7,-0.562,0.586
"('Eig03_EA(bo)', 'SdssC', 'SpMin1_Bh(v)')",3,-0.58,0.586
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",7,-0.549,0.585
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",7,-0.557,0.585
"('SpDiam_B(i)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.557,0.584
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)')",4,-0.585,0.584
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'SpMin1_Bh(v)')",4,-0.566,0.583
"('Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.586,0.583
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",5,-0.588,0.583
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SpMin1_Bh(v)')",4,-0.601,0.583
"('SpDiam_B(e)', 'SM13_AEA(ri)')",2,-0.627,0.583
"('Eig03_EA(bo)', 'SpDiam_B(e)')",2,-0.624,0.582
"('SpDiam_B(i)', 'SdssC', 'SdO', 'SpMin1_Bh(v)')",4,-0.63,0.582
"('SpDiam_B(e)', 'SdO', 'GATS7s')",3,-0.57,0.581
"('SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",4,-0.579,0.581
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'GATS7s')",4,-0.583,0.581
"('SpDiam_B(i)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",4,-0.59,0.581
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC')",4,-0.614,0.581
"('SpDiam_B(i)', 'SdssC', 'SM13_AEA(ri)')",3,-0.62,0.581
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'SpMin1_Bh(v)')",5,-0.554,0.58
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",5,-0.561,0.58
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)')",4,-0.616,0.58
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.557,0.579
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",6,-0.569,0.579
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SdO')",4,-0.592,0.579
"('SpDiam_B(e)', 'SdssC', 'SdO')",3,-0.62,0.579
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.551,0.578
"('SpDiam_B(i)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.552,0.578
"('SpDiam_B(i)', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",4,-0.561,0.578
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",6,-0.569,0.578
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.581,0.578
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO')",4,-0.582,0.578
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)')",5,-0.616,0.578
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.551,0.577
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'GATS7s')",4,-0.562,0.577
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'GATS7s')",6,-0.577,0.577
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",6,-0.578,0.577
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC')",3,-0.616,0.577
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.551,0.576
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",5,-0.567,0.576
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)')",5,-0.579,0.576
"('SpDiam_B(e)', 'SdssC')",2,-0.598,0.576
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)')",4,-0.616,0.576
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'GATS7s')",5,-0.565,0.575
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",5,-0.581,0.575
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SM13_AEA(ri)')",3,-0.627,0.575
"('SpDiam_B(i)', 'SpMin1_Bh(v)')",2,-0.632,0.575
"('SpDiam_B(i)', 'SdssC', 'SpMin1_Bh(v)')",3,-0.603,0.573
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.596,0.572
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.598,0.572
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SdO')",4,-0.661,0.572
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SdO', 'GATS7s')",5,-0.566,0.571
"('SpDiam_B(i)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",5,-0.567,0.571
"('SpDiam_B(i)', 'SdssC', 'SdO')",3,-0.669,0.571
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'SpMin1_Bh(v)')",4,-0.531,0.57
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.531,0.57
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",6,-0.55,0.57
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s')",7,-0.571,0.57
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)')",4,-0.626,0.57
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)')",3,-0.626,0.569
"('SdO', 'GATS7s', 'SpMin1_Bh(v)')",3,-0.538,0.568
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)')",4,-0.572,0.568
"('SpDiam_B(i)', 'SdO', 'SpMin1_Bh(v)')",3,-0.601,0.568
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC')",3,-0.649,0.568
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SpMin1_Bh(v)')",4,-0.599,0.567
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.546,0.566
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",5,-0.551,0.566
"('SpDiam_B(i)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.574,0.566
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.578,0.566
"('SdssC', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.529,0.565
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.582,0.565
"('SpDiam_B(i)', 'SdO', 'SM13_AEA(ri)')",3,-0.578,0.564
"('SpDiam_B(i)', 'SdssC')",2,-0.645,0.564
"('SdssC', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.549,0.563
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO')",3,-0.579,0.563
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.587,0.562
"('SpDiam_B(i)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.587,0.562
"('SpDiam_B(i)', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.558,0.561
"('SpDiam_B(i)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",3,-0.597,0.561
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpMin1_Bh(v)')",3,-0.597,0.561
"('SpDiam_B(i)', 'SM13_AEA(ri)')",2,-0.619,0.561
"('SpDiam_B(i)', 'Eig03_EA(bo)')",2,-0.619,0.561
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SM13_AEA(ri)')",3,-0.626,0.561
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.544,0.56
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdO', 'SpMin1_Bh(v)')",4,-0.556,0.56
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SdO', 'GATS7s')",5,-0.623,0.56
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.585,0.559
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.596,0.559
"('SpDiam_B(e)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.516,0.558
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",7,-0.582,0.558
"('SpDiam_B(e)', 'SdO')",2,-0.592,0.558
"('Eig03_EA(bo)', 'SdO', 'SpMin1_Bh(v)')",3,-0.538,0.557
"('Eig03_EA(bo)', 'SdssC', 'SdO')",3,-0.582,0.556
"('SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.586,0.556
"('SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",3,-0.538,0.555
"('SpDiam_B(i)', 'SdssC', 'SdO', 'GATS7s')",4,-0.624,0.555
"('Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)', 'SpMin1_Bh(v)')",4,-0.545,0.553
"('SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.565,0.553
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.578,0.553
"('Eig03_EA(bo)', 'SdssC', 'SdO', 'SM13_AEA(ri)')",4,-0.581,0.553
"('SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s')",3,-0.61,0.553
"('Eig03_EA(bo)', 'SdssC', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.562,0.552
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",6,-0.576,0.551
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'GATS7s')",3,-0.611,0.551
"('Eig03_EA(bo)', 'SpDiam_B(e)', 'SM13_AEA(ri)', 'GATS7s')",4,-0.611,0.551
"('Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.569,0.55
"('SdssC', 'SdO', 'SM13_AEA(ri)')",3,-0.583,0.55
"('SpDiam_B(i)', 'SdO')",2,-0.588,0.55
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'GATS7s')",4,-0.593,0.549
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.546,0.547
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",5,-0.59,0.547
"('Eig03_EA(bo)', 'SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",5,-0.539,0.546
"('SpDiam_B(i)', 'SdO', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.577,0.546
"('SpDiam_B(i)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",4,-0.589,0.546
"('SpDiam_B(i)', 'Eig03_EA(bo)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",6,-0.591,0.546
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdssC', 'SM13_AEA(ri)', 'GATS7s')",5,-0.589,0.545
"('SM13_AEA(ri)', 'SpMin1_Bh(v)')",2,-0.525,0.543
"('Eig03_EA(bo)', 'SpMin1_Bh(v)')",2,-0.525,0.543
"('SpDiam_B(i)', 'SpDiam_B(e)', 'SdO')",3,-0.653,0.543
"('SdO', 'SM13_AEA(ri)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.537,0.542
