,nr_tunnused,mse,oob
"('SpDiam_B(e)',)",1,-0.705,0.479
"('SpDiam_B(i)', 'SpDiam_B(e)', 'GATS7s', 'SpMin1_Bh(v)')",4,-0.572,0.475
"('SpDiam_B(i)', 'GATS7s', 'SpMin1_Bh(v)')",3,-0.62,0.475
"('SpDiam_B(i)',)",1,-0.589,0.471
"('SM13_AEA(ri)',)",1,-0.613,0.466
"('Eig03_EA(bo)',)",1,-0.613,0.466
"('Eig03_EA(bo)', 'SM13_AEA(ri)')",2,-0.613,0.466
"('SpDiam_B(i)', 'GATS7s')",2,-0.58,0.45
"('SpDiam_B(e)', 'GATS7s')",2,-0.63,0.444
"('Eig03_EA(bo)', 'SM13_AEA(ri)', 'GATS7s')",3,-0.609,0.434
"('SM13_AEA(ri)', 'GATS7s')",2,-0.61,0.431
"('Eig03_EA(bo)', 'GATS7s')",2,-0.61,0.431
"('GATS7s', 'SpMin1_Bh(v)')",2,-0.577,0.418
"('SpDiam_B(i)', 'SpDiam_B(e)', 'GATS7s')",3,-0.66,0.414
"('SpMin1_Bh(v)',)",1,-0.581,0.408
"('SdO', 'GATS7s')",2,-0.648,0.374
"('SdssC', 'GATS7s')",2,-0.766,0.249
"('SdssC',)",1,-0.817,0.225
"('SdO',)",1,-0.689,0.185
"('GATS7s',)",1,-0.88,-0.284
