,AvgIpc,TPSA,SMR_VSA3,SlogP_VSA8,SPS,VSA_EState1
AvgIpc,1.0,-0.22247259922241333,0.5399567894791699,0.3905789188027528,-0.2956631587505338,0.15224581498723788
TPSA,-0.22247259922241333,1.0,0.14611327288231307,-0.09599752815221421,0.47293261845612256,0.27457960780453544
SMR_VSA3,0.5399567894791699,0.14611327288231307,1.0,0.4401642076890623,-0.42899336777651825,0.24141078795580123
SlogP_VSA8,0.3905789188027528,-0.09599752815221421,0.4401642076890623,1.0,-0.4084156875791823,0.21954365396579956
SPS,-0.2956631587505338,0.47293261845612256,-0.42899336777651825,-0.4084156875791823,1.0,0.015040248836188883
VSA_EState1,0.15224581498723788,0.27457960780453544,0.24141078795580123,0.21954365396579956,0.015040248836188883,1.0
