,TPSA,SlogP_VSA8,BertzCT,VSA_EState4,AvgIpc
TPSA,1.0,-0.09599752815221421,0.4995369370856005,-0.2570449311032564,-0.22247259922241336
SlogP_VSA8,-0.09599752815221421,1.0,0.596894100185521,0.19318583388312202,0.3905789188027528
BertzCT,0.4995369370856005,0.596894100185521,1.0,-0.2560741003501438,0.30826845493572796
VSA_EState4,-0.2570449311032564,0.19318583388312202,-0.2560741003501438,1.0,0.06679764484467098
AvgIpc,-0.22247259922241336,0.3905789188027528,0.30826845493572796,0.06679764484467098,1.0
