Molecule ChEMBL ID,Cell Name,Standard Type,Assay,Incubation Time Hours,Property Measured,max,min,mean,median,count
CHEMBL458997,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.78,5.78,5.78,5.78,1
CHEMBL4583512,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.85,4.85,4.85,4.85,1
CHEMBL4577179,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.79,4.79,4.79,4.79,1
CHEMBL4550214,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.81,5.81,5.81,5.81,1
CHEMBL4543609,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.89,4.89,4.89,4.89,1
CHEMBL4483778,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.82,4.82,4.82,4.82,1
CHEMBL4466655,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.52,5.52,5.52,5.52,1
CHEMBL44657,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.29,5.29,5.29,5.29,1
CHEMBL4648447,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.67,4.67,4.67,4.67,1
CHEMBL4453643,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.38,7.38,7.38,7.38,1
CHEMBL4452076,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.31,4.31,4.31,4.31,1
CHEMBL4451749,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.51,4.51,4.51,4.51,1
CHEMBL4450269,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.04,5.04,5.04,5.04,1
CHEMBL4438521,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.97,4.97,4.97,4.97,1
CHEMBL4294821,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.88,4.88,4.88,4.88,1
CHEMBL4294566,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.36,5.36,5.36,5.36,1
CHEMBL4294165,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.91,5.91,5.91,5.91,1
CHEMBL4293675,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.19,5.19,5.19,5.19,1
CHEMBL4293259,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.9,4.9,4.9,4.9,1
CHEMBL4293071,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.03,5.03,5.03,5.03,1
CHEMBL4293054,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.67,5.67,5.67,5.67,1
CHEMBL4463379,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.37,5.37,5.37,5.37,1
CHEMBL4648861,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.34,4.34,4.34,4.34,1
CHEMBL4648575,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.22,4.22,4.22,4.22,1
CHEMBL5191703,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.22,4.22,4.22,4.22,1
CHEMBL4648432,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.19,4.19,4.19,4.19,1
CHEMBL4648258,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.21,6.21,6.21,6.21,1
CHEMBL4647800,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.57,4.57,4.57,4.57,1
CHEMBL4647086,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.94,4.94,4.94,4.94,1
CHEMBL4646906,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.79,5.79,5.79,5.79,1
CHEMBL4646521,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.37,6.37,6.37,6.37,1
CHEMBL4646392,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.65,4.65,4.65,4.65,1
CHEMBL4646357,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.75,4.75,4.75,4.75,1
CHEMBL4645988,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.28,6.28,6.28,6.28,1
CHEMBL4634849,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.32,4.32,4.32,4.32,1
CHEMBL4644554,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.43,6.43,6.43,6.43,1
CHEMBL4644226,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.66,4.66,4.66,4.66,1
CHEMBL4643724,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.15,4.15,4.15,4.15,1
CHEMBL4642386,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.12,6.12,6.12,6.12,1
CHEMBL4642258,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.45,4.45,4.45,4.45,1
CHEMBL4640055,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.58,4.58,4.58,4.58,1
CHEMBL4639932,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.34,4.34,4.34,4.34,1
CHEMBL4639855,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.24,4.24,4.24,4.24,1
CHEMBL4638925,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.32,4.32,4.32,4.32,1
CHEMBL4636044,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.81,4.81,4.81,4.81,1
CHEMBL4635731,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.39,4.39,4.39,4.39,1
CHEMBL4635455,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.42,4.42,4.42,4.42,1
CHEMBL4645339,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.19,6.19,6.19,6.19,1
CHEMBL5630503,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.28,5.28,5.28,5.28,1
CHEMBL5624537,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.58,5.58,5.58,5.58,1
CHEMBL5624511,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.83,4.83,4.83,4.83,1
CHEMBL5624452,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.68,5.68,5.68,5.68,1
CHEMBL5568088,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.58,4.58,4.58,4.58,1
CHEMBL5567673,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.43,4.43,4.43,4.43,1
CHEMBL5566977,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.29,5.29,5.29,5.29,1
CHEMBL5565051,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.4,5.4,5.4,5.4,1
CHEMBL5564960,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.79,4.79,4.79,4.79,1
CHEMBL5564226,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.07,6.07,6.07,6.07,1
CHEMBL5563604,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.85,4.85,4.85,4.85,1
CHEMBL5207176,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.26,4.26,4.26,4.26,1
CHEMBL5563067,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.49,4.49,4.49,4.49,1
CHEMBL5562753,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.54,5.54,5.54,5.54,1
CHEMBL5562675,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.69,4.69,4.69,4.69,1
CHEMBL5562495,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.97,5.97,5.97,5.97,1
CHEMBL5562084,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.42,4.42,4.42,4.42,1
CHEMBL5561986,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.24,5.24,5.24,5.24,1
CHEMBL5561771,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.7,4.7,4.7,4.7,1
CHEMBL5561148,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.54,4.54,4.54,4.54,1
CHEMBL5561001,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.54,4.54,4.54,4.54,1
CHEMBL5560959,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.69,4.69,4.69,4.69,1
CHEMBL5560744,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.75,4.75,4.75,4.75,1
CHEMBL5560649,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.97,5.97,5.97,5.97,1
CHEMBL5563434,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.78,4.78,4.78,4.78,1
CHEMBL3310805,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.38,4.38,4.38,4.38,1
CHEMBL3310804,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.69,4.69,4.69,4.69,1
CHEMBL3310803,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.66,4.66,4.66,4.66,1
CHEMBL3310595,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.32,5.32,5.32,5.32,1
CHEMBL3310592,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.08,5.08,5.08,5.08,1
CHEMBL3310591,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.54,5.54,5.54,5.54,1
CHEMBL3310590,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.75,4.75,4.75,4.75,1
CHEMBL3262727,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.73,5.73,5.73,5.73,1
CHEMBL3186037,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.42,4.42,4.42,4.42,1
CHEMBL3109730,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.63,4.63,4.63,4.63,1
CHEMBL303697,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.79,4.79,4.79,4.79,1
CHEMBL2017974,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.79,5.79,5.79,5.79,1
CHEMBL5630510,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.51,5.51,5.51,5.51,1
CHEMBL98,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.38,5.38,5.38,5.38,1
CHEMBL939,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.99,4.99,4.99,4.99,1
CHEMBL67,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.32,6.32,6.32,6.32,1
CHEMBL572878,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.84,4.84,4.84,4.84,1
CHEMBL563939,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.2,5.2,5.2,5.2,1
CHEMBL5630884,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.66,5.66,5.66,5.66,1
CHEMBL5630874,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.43,5.43,5.43,5.43,1
CHEMBL5630858,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.7,5.7,5.7,5.7,1
CHEMBL5630721,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.21,5.21,5.21,5.21,1
CHEMBL5630623,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.98,4.98,4.98,4.98,1
CHEMBL5630621,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.52,5.52,5.52,5.52,1
CHEMBL5630589,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.4,5.4,5.4,5.4,1
CHEMBL140,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.5,4.5,4.5,4.5,1
CHEMBL5287987,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.83,4.83,4.83,4.83,1
CHEMBL5283175,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.6,4.6,4.6,4.6,1
CHEMBL5282212,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.82,4.82,4.82,4.82,1
CHEMBL5281433,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.93,4.93,4.93,4.93,1
CHEMBL5280867,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.57,4.57,4.57,4.57,1
CHEMBL5279397,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.79,4.79,4.79,4.79,1
CHEMBL5277464,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.95,7.95,7.95,7.95,1
CHEMBL5277445,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.9,5.9,5.9,5.9,1
CHEMBL5277266,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.98,4.98,4.98,4.98,1
CHEMBL5276542,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.74,4.74,4.74,4.74,1
CHEMBL5275650,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.14,4.14,4.14,4.14,1
CHEMBL5560076,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.97,5.97,5.97,5.97,1
CHEMBL5275244,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.72,7.72,7.72,7.72,1
CHEMBL5274151,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.67,4.67,4.67,4.67,1
CHEMBL5273431,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.62,6.62,6.62,6.62,1
CHEMBL5273395,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.67,4.67,4.67,4.67,1
CHEMBL5272452,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.05,5.05,5.05,5.05,1
CHEMBL5271397,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.7,4.7,4.7,4.7,1
CHEMBL5269859,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.78,4.78,4.78,4.78,1
CHEMBL5208456,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.0,4.0,4.0,4.0,1
CHEMBL4292276,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.83,5.83,5.83,5.83,1
CHEMBL5201895,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.05,6.05,6.05,6.05,1
CHEMBL5198581,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.19,4.19,4.19,4.19,1
CHEMBL5196800,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.08,6.08,6.08,6.08,1
CHEMBL5275618,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.08,5.08,5.08,5.08,1
CHEMBL5559947,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.11,6.11,6.11,6.11,1
CHEMBL5559858,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.24,5.24,5.24,5.24,1
CHEMBL5559415,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.58,4.58,4.58,4.58,1
CHEMBL5558842,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.99,5.99,5.99,5.99,1
CHEMBL5558740,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.58,5.58,5.58,5.58,1
CHEMBL5558630,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.48,5.48,5.48,5.48,1
CHEMBL5558526,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.48,4.48,4.48,4.48,1
CHEMBL5558244,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.2,4.2,4.2,4.2,1
CHEMBL5557636,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.76,4.76,4.76,4.76,1
CHEMBL5556281,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.08,6.08,6.08,6.08,1
CHEMBL5555620,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.47,5.47,5.47,5.47,1
CHEMBL5523580,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.94,5.94,5.94,5.94,1
CHEMBL5288231,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.58,4.58,4.58,4.58,1
CHEMBL5517715,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.05,6.05,6.05,6.05,1
CHEMBL5418077,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.13,5.13,5.13,5.13,1
CHEMBL5412398,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.3,7.3,7.3,7.3,1
CHEMBL5409171,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.05,7.05,7.05,7.05,1
CHEMBL5401775,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.78,4.78,4.78,4.78,1
CHEMBL5394069,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.22,7.22,7.22,7.22,1
CHEMBL5291472,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.48,5.48,5.48,5.48,1
CHEMBL5290709,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.07,5.07,5.07,5.07,1
CHEMBL5289048,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,7.69,7.69,7.69,7.69,1
CHEMBL5288916,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.51,4.51,4.51,4.51,1
CHEMBL5288870,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.23,4.23,4.23,4.23,1
CHEMBL5288388,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.83,4.83,4.83,4.83,1
CHEMBL5523403,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.87,5.87,5.87,5.87,1
CHEMBL3612320,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.98,5.98,5.98,5.98,1
CHEMBL3612319,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.78,5.78,5.78,5.78,1
CHEMBL3612318,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.08,5.08,5.08,5.08,1
CHEMBL3612317,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.14,5.14,5.14,5.14,1
CHEMBL3612316,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.44,6.44,6.44,6.44,1
CHEMBL3612315,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.99,5.99,5.99,5.99,1
CHEMBL3612314,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.36,6.36,6.36,6.36,1
CHEMBL3612313,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.12,6.12,6.12,6.12,1
CHEMBL3612312,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.44,6.44,6.44,6.44,1
CHEMBL3612311,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.31,6.31,6.31,6.31,1
CHEMBL3612310,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.41,6.41,6.41,6.41,1
CHEMBL3612309,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,6.28,6.28,6.28,6.28,1
CHEMBL4291410,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.24,5.24,5.24,5.24,1
CHEMBL3612198,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.62,5.62,5.62,5.62,1
CHEMBL3612197,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.86,5.86,5.86,5.86,1
CHEMBL3612196,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.76,5.76,5.76,5.76,1
CHEMBL3612194,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.82,5.82,5.82,5.82,1
CHEMBL3416200,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.61,5.61,5.61,5.61,1
CHEMBL3416185,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,5.3,5.3,5.3,5.3,1
