Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL2419667,,COc1cc2c(Oc3ccc(NC(=O)N/N=C/c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,7.75,CHEMBL2421440,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,XHBKQWXDUHRNOS-HASSKWOGSA-N,72.0,Cytotoxicity,MTT
CHEMBL1171448,CIRENSENOSIDE O,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O)C(C)(C)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,IC50,4.86,CHEMBL2433427,Cytotoxicity against human U87MG cells assessed as cell viability after 72 hrs by MTT assay,U-87MG ATCC,QDUNASUIHMLOJM-VYEWMGKISA-N,72.0,Cytotoxicity,MTT
CHEMBL2430034,,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9OC[C@@H](O)[C@H](O)[C@H]9O)[C@H]8O)C(C)(C)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,IC50,4.76,CHEMBL2433427,Cytotoxicity against human U87MG cells assessed as cell viability after 72 hrs by MTT assay,U-87MG ATCC,ZPSFHHIZWMURAT-GSDJGKHLSA-N,72.0,Cytotoxicity,MTT
CHEMBL2397982,,COc1ccc(NS(=O)(=O)/C=C/c2c(OC)cc(OC)cc2OC)cc1,IC50,6.64,CHEMBL2400497,Cytotoxicity against human U87 cells after 96 hrs by sulforhodamine B assay,U-87MG ATCC,CNXODVDGIBSDFK-MDZDMXLPSA-N,96.0,Cytotoxicity,sulforhodamine B
CHEMBL192687,,Oc1cc(-c2ccccc2)nc2c1ccc1[nH]ccc12,IC50,4.0,CHEMBL833357,Cytotoxic activity against human tumor A-172 cell line,A-172,UNOZBASOWIOTMS-UHFFFAOYSA-N,,Cytotoxicity,Unspecified
CHEMBL1230609,FORETINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,IC50,5.97,CHEMBL3293741,Cytotoxicity against human U87MG cells assessed as inhibition of cell growth after 72 hrs by MTT assay,U-87MG ATCC,CXQHYVUVSFXTMY-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL240954,,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H]1C,IC50,5.32,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,SXOZSDJHGMAEGZ-IGKKHSBFSA-N,,Growth inhibition,Unspecified
CHEMBL1091644,LINSITINIB,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,IC50,4.39,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,PKCDDUHJAFVJJB-VLZXCDOPSA-N,,Growth inhibition,Unspecified
CHEMBL191384,,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,IC50,5.67,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,AVLYNJZZQYEFEA-XDJHFCHBSA-N,,Growth inhibition,Unspecified
CHEMBL3545252,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,IC50,8.79,CHEMBL2363720,SANGER: Inhibition of human A172 cell growth in a cell viability assay.,A-172,XCDIRYDKECHIPE-QHEQPUDQSA-N,,Growth inhibition,Unspecified
