Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey,Incubation Time Hours,Property Measured,Assay
CHEMBL3954793,,CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCNC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCNc1c2ccccc2nc2ccccc12)NC(=O)[C@@H](N)CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCNc1c2ccccc2nc2ccccc12)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](CCCCNC(=O)c1ccc(B(O)O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,5.14,CHEMBL3853427,Antiviral activity against HIV1 NL4-3 infected in human U87 cells transfected with CD4/CXCR4 assessed as inhibition of viral replication preincubated for 1 hr followed by viral infection for 24 hrs and subsequent compound wash out and addition of additional compound measured at 72 hrs post infection by p24 assay,U-87MG ATCC,VULIYGLYBQXDJR-SHAJCIBYSA-N,1.0,Antiviral activity,viral infection for 24 hrs and subsequent compound wash out and addition of additional compound measured at 72 hrs post infection by p24
CHEMBL5423568,,C#CCN(C)CCCOc1ccc(N(C)C(=O)c2cc(C(C)C)c(O)cc2O)cc1Cl,IC50,6.46,CHEMBL5371250,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth measured after 72 hrs by CCK8 method,U-87MG ATCC,JHKZNXCXUMFEOS-UHFFFAOYSA-N,72.0,Antiproliferative activity,CCK8
CHEMBL5283179,,CCC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C,IC50,5.77,CHEMBL5445554,"Affinity Phenotypic Cellular interaction: (ProQinase broad tumor cell line profiling (CellTiterGlo assay, antiproliferative activity in brain, LN229,cancer cell line)) EUB0001183a CSNK2A1",LN-229,YKDZIFFKQUNVHH-UHFFFAOYSA-N,,Antiproliferative activity,Unspecified
CHEMBL140,CURCUMIN,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,5.0,CHEMBL3757073,Antiproliferative activity against human T98G cells after 24 hrs by EZ-Tox assay,T98G,VFLDPWHFBUODDF-FCXRPNKRSA-N,24.0,Antiproliferative activity,EZ-Tox
CHEMBL2035460,ETHASELEN,O=c1c2ccccc2[se]n1CCn1[se]c2ccccc2c1=O,IC50,5.3,CHEMBL2039587,Inhibition of TrxR in human U87MG cells after 12 hrs by insulin-reducing method,U-87MG ATCC,SFFSGPCYJCMDJM-UHFFFAOYSA-N,12.0,Unspecified,insulin-reducing
CHEMBL3359307,,C=C(CCCC(C)(C)O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](OC(=O)CCl)C[C@@H]1[C@@]3(C)CC[C@H](OC(=O)CCl)C(C)(C)[C@@H]3CC[C@]12C,IC50,4.64,CHEMBL3386073,Antiproliferative activity against human U87 cells assessed as cell-growth inhibition after 48 hrs by MTT assay,U-87MG ATCC,DVVXEMSAISDIBT-WZXSUGGSSA-N,48.0,Antiproliferative activity,MTT
CHEMBL1224360,,C=C(CNCCO)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(NCCO)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.8,CHEMBL1225662,Cytotoxicity against human LN229 cells after 72 hrs by MTS assay,LN-229,UJVDKTULBHBERS-NZVCPMBMSA-N,72.0,Cytotoxicity,MTS
CHEMBL1224364,,C=C(CNCCO)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCC(NCCOC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.55,CHEMBL1225662,Cytotoxicity against human LN229 cells after 72 hrs by MTS assay,LN-229,SEIHBOJCUVUPAJ-FDDWVMGPSA-N,72.0,Cytotoxicity,MTS
CHEMBL119592,,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccccc3)cc1OC2(C)C,EC50,5.33,CHEMBL964509,Cytotoxicity against human T98G cells assessed as cell death after 18 hrs,T98G,GZYXCXRHVALIJD-WOJBJXKFSA-N,18.0,Cytotoxicity,Unspecified
CHEMBL2069125,CORNUSALTERIN B,COC(C)(C)/C=C/C[C@H](C)[C@@H]1CC[C@]2(C)[C@@H]3CCC4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,IC50,4.54,CHEMBL1669908,Cytotoxicity against human XF498 cells by SRB assay,XF 498,VXRYSPWFQKBSPW-BDROBAENSA-N,,Cytotoxicity,SRB
CHEMBL1668098,CORNUSALTERIN E,CC(C)CCC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@@]12C,IC50,4.88,CHEMBL1669908,Cytotoxicity against human XF498 cells by SRB assay,XF 498,ZYAWSDGOPQRREN-VNYVIHJJSA-N,,Cytotoxicity,SRB
CHEMBL343002,,CCOc1ccc(-c2nc3cc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)ccc3[nH]2)cc1,IC50,5.38,CHEMBL1671231,Cytotoxicity against human U87 cells after 72 hrs by MTT assay,U-87MG ATCC,PRDFBSVERLRRMY-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL471122,,CCCc1ccc(C(C)(C)c2cc(O)c3c(c2)OC(C)(C)[C@@H]2CC=C(C)C[C@@H]32)cc1,EC50,5.5,CHEMBL964507,Cytotoxicity against human U87 cells by side flank model relative to control,U-87MG ATCC,MZOOIDJUCGIQIU-DHIUTWEWSA-N,,Cytotoxicity,Unspecified
CHEMBL3290910,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c(=O)cc4C)cc3F)ccnc2cc1OCCCN1CCCC1,IC50,6.0,CHEMBL3293741,Cytotoxicity against human U87MG cells assessed as inhibition of cell growth after 72 hrs by MTT assay,U-87MG ATCC,FRFNHPYRKFRMMZ-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3290931,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c(=O)cc4C)cc3F)ccnc2cc1OCCCN1CCOCC1,IC50,5.97,CHEMBL3293741,Cytotoxicity against human U87MG cells assessed as inhibition of cell growth after 72 hrs by MTT assay,U-87MG ATCC,JYBQEMYHVMILOJ-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2042472,,CN(C)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccc2c(F)cccc12,IC50,7.68,CHEMBL2044176,Antiproliferative activity against human A172 cells after 5 days by MTT assay,A-172,YKVMJQBXOMKRHY-UHFFFAOYSA-N,120.0,Antiproliferative activity,MTT
CHEMBL521245,,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.75,CHEMBL975264,Antiproliferative activity against human LN229 cells after 72 hrs by MTS assay,LN-229,WXZMJXNGGUJSIL-AJNNAGPSSA-N,72.0,Antiproliferative activity,MTS
CHEMBL506074,,CC(C)[C@@H]1CC[C@]2(COC3CCCCO3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.35,CHEMBL975264,Antiproliferative activity against human LN229 cells after 72 hrs by MTS assay,LN-229,PKUKASRXVYELCK-AQOUXIAOSA-N,72.0,Antiproliferative activity,MTS
CHEMBL3353046,,O=C(Cc1cccc2ccccc12)N1CCN(C(=O)c2ccco2)CC1,IC50,4.1,CHEMBL3383780,Antiviral activity against Human immunodeficiency virus type 1 (isolate YU2) pseudotyped virus expressed in human U87 cells after 48 hrs by cell-based luciferase reporter gene assay,U-87MG ATCC,VMJVAMPNMNAKLD-UHFFFAOYSA-N,48.0,Antiviral activity,cell-based luciferase reporter gene
CHEMBL373587,,CCN(CC)c1ccc2c(C#N)c(-c3nc4ccccc4o3)c(=O)oc2c1,IC50,5.75,CHEMBL853547,Antiproliferative activity against human U87 MG cell line,U-87MG ATCC,QCQWADYRINMUHR-UHFFFAOYSA-N,,Antiproliferative activity,Unspecified
CHEMBL5418475,,CC(=O)OC[C@H]1O[C@H](OC2=CC(=O)c3cccc(O)c3C2=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,IC50,5.49,CHEMBL5389193,Cytotoxicity against human U87 cells assessed as reduction in cell viability incubated for 24 hrs by resazurin assay,U-87MG ATCC,CSKWWVYJAXDCIP-MWFZDGHISA-N,24.0,Cytotoxicity,resazurin
CHEMBL4455327,,Oc1ccccc1-c1ccc2ccccc2c1,EC50,4.32,CHEMBL5217394,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell growth incubated for 72 hrs by SRB assay,U-87MG ATCC,DYXBPOGHFMDEDL-UHFFFAOYSA-N,72.0,Antiproliferative activity,SRB
CHEMBL222760,,CC(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,4.72,CHEMBL916479,Cytotoxicity against human U87-Mg cells after 72 hrs by MTT assay,U-87MG ATCC,VZYGKLAIQLFCPM-JOQCCHAVSA-N,72.0,Cytotoxicity,MTT
CHEMBL5401775,,O=C1c2cc(F)ccc2N(c2cccc(F)c2)C2c3[nH]c4ccccc4c3CCN12,IC50,4.78,CHEMBL5339028,Antiproliferative activity against human U-87 MG cells assessed as inhibition of cell proliferation incubated for 72 hrs by MTT assay,U-87MG ATCC,DZDTUGJLJYIASD-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL244184,,Cc1cnc(Oc2ccc(-n3ccnc3)cc2)nc1Oc1ccc2c(c1)OCO2,IC50,6.89,CHEMBL887582,Inhibition of iNOS in human A172 cells after 18 to 24 hrs,A-172,WUDOWDUJLISJRD-UHFFFAOYSA-N,24.0,Unspecified,Unspecified
CHEMBL244182,,c1cn(-c2ccc(Oc3ccnc(Oc4ccc5c(c4)OCO5)n3)cc2)cn1,IC50,7.13,CHEMBL887582,Inhibition of iNOS in human A172 cells after 18 to 24 hrs,A-172,VEWOKEGQNVXJDK-UHFFFAOYSA-N,24.0,Unspecified,Unspecified
CHEMBL3885128,,CCOC(=O)c1nc2ccccc2nc1C#Cc1cccc(C)c1,IC50,5.26,CHEMBL3875895,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,GANAGRMHJQTADC-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL1822930,,CCCCOc1c(OC)ccc2cc(C(=O)NCCc3ccc(F)cc3)c(=O)[nH]c12,Ki,8.62,CHEMBL1825306,Displacement of [3H]CP-55940 from human CB2 receptor expressed in human U87 cells after 1 hr by scintillation counting,U-87MG ATCC,RMDYOOKUYKPFTH-UHFFFAOYSA-N,3.0,Unspecified,Unspecified
CHEMBL1822935,,CCCCOc1c(OC)ccc2cc(C(=O)NCCF)c(=O)[nH]c12,Ki,6.31,CHEMBL1825306,Displacement of [3H]CP-55940 from human CB2 receptor expressed in human U87 cells after 1 hr by scintillation counting,U-87MG ATCC,UTFVZMLLHUZJOB-UHFFFAOYSA-N,3.0,Unspecified,Unspecified
CHEMBL119894,,COc1ccc2c(n1)-c1nccc3ccnc(c13)C2=O,IC50,5.22,CHEMBL815879,In vitro antitumor effects against human U87MG cell lines.,U-87MG ATCC,YTZSQUDIWAXIIV-UHFFFAOYSA-N,,Unspecified,Unspecified
CHEMBL1779547,,Cc1c2c(n3c1CCCN1CCC[C@@H](C1)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O,EC50,7.17,CHEMBL1780618,Antiproliferative activity against human U87 cells by luminescence assay,U-87MG ATCC,PWJSZCCBSVIOCL-KRWDZBQOSA-N,,Antiproliferative activity,luminescence
CHEMBL4205181,,CNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccc(C(F)(F)F)cc4Cl)c3=O)cc2)ccn1,IC50,4.7,CHEMBL4185091,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,LRSSWCNWEFCZTP-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL4207773,,CCCNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccccc4)c3=O)cc2)ccn1,IC50,5.82,CHEMBL4185091,Antiproliferative activity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,WSIJRYOXDPXZPL-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL480041,,CCN(CC)C(=O)Cc1c(-c2ccc(OC)cc2)nn2c(C)cc(C)nc12,Ki,8.18,CHEMBL3636925,Displacement of [3H]PK11195 from TSPO in human T98G cell membranes incubated for 90 mins by competition radioligand binding assay,T98G,ILZWUAWCTNWSFZ-UHFFFAOYSA-N,1.5,Unspecified,competition radioligand binding
CHEMBL3634876,,CCN(CC)C(=O)Cn1c(-c2ccc(OC)cc2)cc2c(C)cc(C)cc21,Ki,6.09,CHEMBL3636925,Displacement of [3H]PK11195 from TSPO in human T98G cell membranes incubated for 90 mins by competition radioligand binding assay,T98G,RKBQFQARDYWAHE-UHFFFAOYSA-N,1.5,Unspecified,competition radioligand binding
CHEMBL3144390,,CN(C)CCCCCN(C)C1=Nc2ccccc2C(CC(=O)NCc2ccccc2)N1c1ccc(-c2ccccc2)cc1.Cl.Cl,IC50,5.34,CHEMBL1272663,Cytotoxicity against human A172 cells by MTT assay,A-172,XXBHXAMUPKFGNW-UHFFFAOYSA-N,,Cytotoxicity,MTT
CHEMBL4285275,,CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CSSC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CSSC[C@H](NC(=O)CNC1=O)C(=O)N[C@@H](CO)C(=O)N4)NC(=O)[C@@H]1CCCN1C(=O)[C@H]([C@@H](C)CC)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC3=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(=O)N2,IC50,5.25,CHEMBL5048136,Cytotoxicity against human U-87 MG cells assessed as cell viability using raw interpretation method,U-87MG ATCC,LNKLNUAMTRHBLB-CGJDGIRVSA-N,,Cytotoxicity,Unspecified
CHEMBL1557864,,COc1cc(C(c2cc3c(cc2O)OCO3)N2CCCC2)cc(OC)c1OC,IC50,4.62,CHEMBL4729814,Cytotoxicity against human U-87 MG cells assessed as growth inhibition measured after 72 hrs by MTT assay,U-87MG ATCC,QCXGNLZKUHBIHD-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL591855,,CCc1ccc(C(Nc2ccccn2)c2ccc3cccnc3c2O)cc1,IC50,5.03,CHEMBL4729814,Cytotoxicity against human U-87 MG cells assessed as growth inhibition measured after 72 hrs by MTT assay,U-87MG ATCC,GKKHBDOWRWTQKO-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3703650,,Cc1ccnc(NC(c2ccccc2Cl)c2ccc3cccnc3c2O)c1,IC50,5.0,CHEMBL4729814,Cytotoxicity against human U-87 MG cells assessed as growth inhibition measured after 72 hrs by MTT assay,U-87MG ATCC,BKOLRAXMMXDABH-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4753606,,Oc1c(C(c2ccncc2)N2CCCCC2)ccc2ccoc12,IC50,6.0,CHEMBL4729814,Cytotoxicity against human U-87 MG cells assessed as growth inhibition measured after 72 hrs by MTT assay,U-87MG ATCC,GJSGJEFEHZQMOS-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4792039,,Oc1ccc2ncccc2c1C(c1ccc(F)cc1)N1CCCCC1,IC50,5.0,CHEMBL4729814,Cytotoxicity against human U-87 MG cells assessed as growth inhibition measured after 72 hrs by MTT assay,U-87MG ATCC,KOSAQWFJCWQDGG-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4758830,,Oc1cc2c(cc1C(c1ccccc1)N1CCCCC1)OCO2,IC50,4.77,CHEMBL4729816,Cytotoxicity against human A 172 cells assessed as growth inhibition measured after 72 hrs by MTT assay,A-172,WXERBCAJTBAWGU-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL4778052,,CCOP(=O)(Cc1ccc(Nc2ncc3scc(-c4ccccc4OC)c3n2)cc1)OCC,IC50,5.89,CHEMBL4767591,Antiproliferative activity against human U-87MG cells assessed as inhibition of cell growth measured after 72 hrs by MTT assay,U-87MG ATCC,VVFGHJSVCIICMO-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
CHEMBL3793197,,O=C(O[C@H]1C[C@H](n2cc(F)c(=O)[nH]c2=O)O[C@@H]1CO)c1ccccc1Cl,IC50,5.82,CHEMBL3795432,Antiproliferative activity against human T98G cells assessed as cell viability after 48 hrs by MTT assay,T98G,YPKZCXHKFPTHFY-YNEHKIRRSA-N,48.0,Antiproliferative activity,MTT
CHEMBL184632,,CCC1(c2ccccc2)CC(=O)C(C(CC(=O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)=C(O)O1,IC50,5.18,CHEMBL825052,Concentration required for inhibiting proliferation of human brain tumor cell line XF 498 after 72 hr of incubation was determined,XF 498,BYCOHDXJANLRLB-UHFFFAOYSA-N,72.0,Unspecified,Unspecified
CHEMBL5081822,,Nc1nc2cc3c(cc2cc1C(=O)NCC1CC1)OCO3,IC50,4.11,CHEMBL5031814,Cytotoxicity against human U-87 MG cells assessed as inhibition of cell growth measured after 48 hrs by MTT assay,U-87MG ATCC,HVQSOLYMHDDJMB-UHFFFAOYSA-N,48.0,Cytotoxicity,MTT
CHEMBL2441798,,O=C(Nc1cccc(-n2cc(-c3ccncc3)c(-c3ccc(Cl)c(O)c3)n2)c1)Nc1cccc(C(F)(F)F)c1,IC50,6.02,CHEMBL2445302,Growth inhibition of human SF295 cells after 48 hrs by sulforhodamine B assay,SF295,HMZVXEPIWCERKW-UHFFFAOYSA-N,48.0,Growth inhibition,sulforhodamine B
CHEMBL2441796,,COc1cc(-c2nn(-c3cccc(NC(=O)c4ccc(N5CCOCC5)c(C(F)(F)F)c4)c3)cc2-c2ccncc2)ccc1Cl,IC50,6.82,CHEMBL2445302,Growth inhibition of human SF295 cells after 48 hrs by sulforhodamine B assay,SF295,KDESCVAKXJMELW-UHFFFAOYSA-N,48.0,Growth inhibition,sulforhodamine B
CHEMBL2441795,,COc1cc(-c2nn(-c3cccc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)c3)cc2-c2ccncc2)ccc1Cl,IC50,5.86,CHEMBL2445302,Growth inhibition of human SF295 cells after 48 hrs by sulforhodamine B assay,SF295,RAYZPAZGZSNIPK-UHFFFAOYSA-N,48.0,Growth inhibition,sulforhodamine B
CHEMBL1668698,,CN1CCN(c2ccc3nc(-c4ccc5nc(-c6ccc(F)cc6F)[nH]c5c4)[nH]c3c2)CC1,IC50,5.26,CHEMBL1671231,Cytotoxicity against human U87 cells after 72 hrs by MTT assay,U-87MG ATCC,GOYTTZQBYVHZNE-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL2441790,,COc1cc(-c2nn(-c3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)cc2-c2ccncc2)ccc1Cl,IC50,6.08,CHEMBL2445302,Growth inhibition of human SF295 cells after 48 hrs by sulforhodamine B assay,SF295,PBHHNPADCVUAJW-UHFFFAOYSA-N,48.0,Growth inhibition,sulforhodamine B
CHEMBL4762080,,COc1ccc(-c2nc(C)c(C(=O)CSc3nc(-c4ccc5c(c4)OCO5)c(C#N)c(=O)[nH]3)s2)cc1,IC50,4.18,CHEMBL4713097,Antiproliferative activity against human U-87 MG cells assessed as reduction in cell viability measured after 24 to 48 hrs by MTT assay,U-87MG ATCC,SQHULIWFGOHDAJ-UHFFFAOYSA-N,48.0,Antiproliferative activity,MTT
CHEMBL4798872,,COc1ccc(-c2nc(C)c(C(=O)CSc3nc(N)c(C#N)c(-c4ccccc4)n3)s2)cc1,IC50,5.07,CHEMBL4713097,Antiproliferative activity against human U-87 MG cells assessed as reduction in cell viability measured after 24 to 48 hrs by MTT assay,U-87MG ATCC,DEAYOTAXACGNDI-UHFFFAOYSA-N,48.0,Antiproliferative activity,MTT
CHEMBL3337789,,O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1ccccc1)c1cc2ccc(O)cc2oc1=O,IC50,4.0,CHEMBL3381976,Cytotoxicity against human A172 cells by MTT assay,A-172,JSVQEFOTCCULDI-HEVIKAOCSA-N,,Cytotoxicity,MTT
CHEMBL3121272,,O=C(Nc1ccc(I)cn1)c1cccc(F)c1,EC50,6.35,CHEMBL3122444,Decrease in PrPc expression on human T98G cell surface after 2 days by ELISA,T98G,PEZBITNWNCFBLF-UHFFFAOYSA-N,48.0,Unspecified,ELISA
CHEMBL4100560,,C=C(c1ccc(OC)cc1)c1cc(C)nc2ccccc12,IC50,7.68,CHEMBL4006122,Cytotoxicity against human U87 cells assessed as decrease in cell growth after 72 hrs by resazurin dye-based fluorimetric method,U-87MG ATCC,LPJFLJRKCGUKFU-UHFFFAOYSA-N,72.0,Cytotoxicity,resazurin dye-based fluorimetric
CHEMBL4076496,,C=C(c1ccc(OC)cc1)c1cc(CO)nc2ccccc12,IC50,6.41,CHEMBL4006122,Cytotoxicity against human U87 cells assessed as decrease in cell growth after 72 hrs by resazurin dye-based fluorimetric method,U-87MG ATCC,HUFYAIZSUXZQDL-UHFFFAOYSA-N,72.0,Cytotoxicity,resazurin dye-based fluorimetric
CHEMBL4065521,,C=C(c1ccc(OC)c(O)c1)c1nc(C)nc2ccccc12,IC50,8.21,CHEMBL4006122,Cytotoxicity against human U87 cells assessed as decrease in cell growth after 72 hrs by resazurin dye-based fluorimetric method,U-87MG ATCC,JSUMHLAGZVXBKB-UHFFFAOYSA-N,72.0,Cytotoxicity,resazurin dye-based fluorimetric
CHEMBL524102,,O=C1C2=C(C(=O)c3ncccc31)C1(CS2)NC(=O)N(c2ccccc2)C1=O,IC50,5.82,CHEMBL957401,Antiproliferative activity against human XF498 cells after 96 hrs by MTT assay,XF 498,VQMSLWWFCNFOAR-UHFFFAOYSA-N,96.0,Antiproliferative activity,MTT
CHEMBL523801,,O=C1C2=C(C(=O)c3ncccc31)C1(CS2)NC(=O)N(c2ccncc2)C1=O,IC50,5.95,CHEMBL957401,Antiproliferative activity against human XF498 cells after 96 hrs by MTT assay,XF 498,URKMVTNTRSBXHE-UHFFFAOYSA-N,96.0,Antiproliferative activity,MTT
CHEMBL1668100,CORNUSALTERIN G,CO[C@@H](C=C(C)C)C[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,IC50,4.69,CHEMBL1669908,Cytotoxicity against human XF498 cells by SRB assay,XF 498,UDSUNACNDRCFFJ-SMLRQZPUSA-N,,Cytotoxicity,SRB
CHEMBL1668103,CORNUSALTERIN J,CO[C@@H](C=C(C)C)C[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,IC50,4.74,CHEMBL1669908,Cytotoxicity against human XF498 cells by SRB assay,XF 498,CMYFKSGATOJENB-LRTLWCEFSA-N,,Cytotoxicity,SRB
CHEMBL1652082,,CC1(C)OC2C(=O)c3ccccc3C(=O)C2[C@@H]([N-][N+]#N)[C@@H]1Br,IC50,4.86,CHEMBL1664369,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,COAMQTJABBZFQJ-DUHSPSEUSA-N,72.0,Cytotoxicity,MTT
CHEMBL2041934,,O=[N+]([O-])c1ccc(NC(=S)NCc2cccc(Cl)c2)cc1,IC50,4.7,CHEMBL2045874,Growth inhibition of human T98G cells after 72 hrs by MTT assay,T98G,LGMWYLBNBHIUMI-UHFFFAOYSA-N,72.0,Growth inhibition,MTT
CHEMBL1087935,,Oc1ccc(CN(Cc2cccs2)Cc2ccc(O)c3ncccc23)c2cccnc12,IC50,7.06,CHEMBL1107605,Cytotoxicity against human T98G cells by MTT assay,T98G,DCSLAAUFCGHSGE-UHFFFAOYSA-N,,Cytotoxicity,MTT
CHEMBL1080911,,Cc1n[nH]c2ccc(-c3nnc(NC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)s3)cc12,IC50,6.45,CHEMBL1104223,Inhibition of human AKT1 in human U87MG cells assessed as PRAS40 phosphorylation after 1 hr by ELISA,U-87MG ATCC,KRKDQSSYLDUOBP-HNNXBMFYSA-N,1.0,Unspecified,ELISA
CHEMBL1097919,,CCC(CC[C@@H](C)[C@H]1[C@H](O[C@@H]2O[C@@H]([C@@H](O)COC)[C@H](O)[C@H]2O)CC2=C3[C@@H](O[C@@H]4O[C@@H]([C@@H](O)COC)[C@H](O)[C@H]4O)[C@@H](O)[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,IC50,5.44,CHEMBL1111856,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,MXFMHAVXAGVCGZ-QLDMGMRTSA-N,72.0,Cytotoxicity,MTT
CHEMBL3963286,,O=C1C(=O)c2ccccc2C2=C1CC(Cn1nnc(-c3ccccc3)c1-c1ccccc1)O2,IC50,5.84,CHEMBL3862209,Cytotoxicity against human SF295 cells assessed as decrease in cell viability after 72 hrs by MTT assay,SF295,FHNODQVETSSAOP-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3908949,,O=C1C(=O)c2ccccc2C2=C1CC(Cn1cc(C3(O)CCCCC3)nn1)O2,IC50,4.96,CHEMBL3862209,Cytotoxicity against human SF295 cells assessed as decrease in cell viability after 72 hrs by MTT assay,SF295,NWGUAWJRTBYMNS-UHFFFAOYSA-N,72.0,Cytotoxicity,MTT
CHEMBL3341777,,CC1(C)O[C@@H]2[C@H](O1)[C@@H](Nc1ccc3ccccc3c1)[P@](=O)(c1ccccc1)O[C@@H]2[C@H]1COC(C)(C)O1,Ki,6.91,CHEMBL3374643,Antimigratory activity against human SNB75 cells on matrix containing fibronectin after 24 hrs by 2-D migration assay,SNB-75,FWHOARIZUBCNOV-JBNHJABESA-N,24.0,Unspecified,2-D migration
CHEMBL43,AMSACRINE,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,IC50,6.3,CHEMBL2039143,Antiproliferative activity against human SF295 cells after 72 hrs by MTT assay,SF295,XCPGHVQEEXUHNC-UHFFFAOYSA-N,72.0,Antiproliferative activity,MTT
