Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,IC50,5.29,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,QFJCIRLUMZQUOT-HPLJOQBZSA-N
CHEMBL428647,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,IC50,5.38,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,RCINICONZNJXQF-MZXODVADSA-N
CHEMBL577784,BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,IC50,4.96,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,VAVXGGRQQJZYBL-UHFFFAOYSA-N
CHEMBL1879463,DACTOLISIB,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,IC50,6.52,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,JOGKUKXHTYWRGZ-UHFFFAOYSA-N
CHEMBL5218785,,CCOC(=O)c1c(N)sc(C(=O)Nc2ccc(Cl)cc2)c1-c1ccccc1,IC50,6.41,CHEMBL5216302,Antiproliferative activity against human U-87 MG cells assessed as cell growth inhibition by MTT assay,U-87MG ATCC,DSJIPZTZCBUSIZ-UHFFFAOYSA-N
CHEMBL5219322,,N#Cc1c(N)sc(C(=O)Nc2ccccc2)c1-c1ccccc1,IC50,5.05,CHEMBL5216302,Antiproliferative activity against human U-87 MG cells assessed as cell growth inhibition by MTT assay,U-87MG ATCC,VJVXZLADENLGMU-UHFFFAOYSA-N
CHEMBL5275244,,C/C(=C\CN1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)c1ccccc1,IC50,4.65,CHEMBL5225163,Anti-proliferative against human U-87 MG cells assessed as reduction in cell viability incubated for 24 hrs by MTT assay,U-87MG ATCC,CCEWBVIQKCUYJV-WOJGMQOQSA-N
CHEMBL5289048,,COc1ccc(/C(C)=C/CN2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,IC50,4.62,CHEMBL5225163,Anti-proliferative against human U-87 MG cells assessed as reduction in cell viability incubated for 24 hrs by MTT assay,U-87MG ATCC,PTGWAAKNSYOHMB-WOJGMQOQSA-N
CHEMBL5277464,,C/C(=C\CN1CCN(C(=O)C2CCCC2)CC1)c1ccccc1,IC50,4.41,CHEMBL5225164,Anti-proliferative against human U-87 MG cells assessed as reduction in cell viability incubated for 48 hrs by MTT assay,U-87MG ATCC,NRJLQONGQFSUJQ-GZTJUZNOSA-N
CHEMBL5207176,,c1c(CN2CCCCCC2)c(-c2cc3ccc4c(c3cn2)OCO4)cc2c1OCO2,IC50,4.26,CHEMBL5122968,Antiproliferative activity against human U87 cells measured after 72 hrs by MTT assay,U-87MG ATCC,KGYHKHZROFSQOS-UHFFFAOYSA-N
CHEMBL4864756,,COc1cc(C(=O)NC2CCCN(C(=O)CCCCCN3/C(=C/C=C4\CCCC(/C=C/C5=[N+](CCCCCC(=O)N6CCCC(NC(=O)c7cc(OC)c(OC)c(OC)c7)C6)c6ccccc6C5(C)C)=C4Cl)C(C)(C)c4ccccc43)C2)cc(OC)c1OC.[Br-],EC50,6.97,CHEMBL4810920,Cytotoxicity against human U-87MG cells assessed as reduction in total cell count measured after 96 hrs in presence of TMZ by Hoechst staining analysis,U-87MG ATCC,QTRZVIIDNJPRSU-UHFFFAOYSA-N
CHEMBL4864756,,COc1cc(C(=O)NC2CCCN(C(=O)CCCCCN3/C(=C/C=C4\CCCC(/C=C/C5=[N+](CCCCCC(=O)N6CCCC(NC(=O)c7cc(OC)c(OC)c(OC)c7)C6)c6ccccc6C5(C)C)=C4Cl)C(C)(C)c4ccccc43)C2)cc(OC)c1OC.[Br-],IC50,6.3,CHEMBL4810921,Antiproliferative activity against human U-87MG cells assessed as reduction in cell proliferation measured after 48 hrs by EdU-incorporation assay,U-87MG ATCC,QTRZVIIDNJPRSU-UHFFFAOYSA-N
CHEMBL259181,,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1,IC50,5.49,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,DOKZLKDGUQWMSX-HKBQPEDESA-N
CHEMBL558642,GSK-650394,O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1,IC50,5.12,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,WVSBGSNVCDAMCF-UHFFFAOYSA-N
CHEMBL94657,PATUPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,IC50,8.72,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,QXRSDHAAWVKZLJ-PVYNADRNSA-N
CHEMBL191384,,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,IC50,5.52,CHEMBL2363632,SANGER: Inhibition of human SF295 cell growth in a cell viability assay.,SF295,AVLYNJZZQYEFEA-XDJHFCHBSA-N
