Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,pChEMBL Value,Assay ChEMBL ID,Assay Description,Cell Name,InChIKey
CHEMBL1641650,,CC(=O)O[C@@H]1C=C[C@H](OCCCOc2cc(O)c3c(=O)c(-c4ccc(O)cc4)coc3c2)O[C@H]1C,IC50,4.78,CHEMBL1647062,Cytotoxicity against human T98G cells after 72 hrs by SRB assay,T98G,PDZLLRLDZPDGCT-HRCLSFSHSA-N
CHEMBL432949,,O=C1OCc2c(cc3n(c2=O)Cc2cc4ccccc4nc2-3)C1(O)CCO,IC50,5.35,CHEMBL624722,In vitro cytotoxicity against A172 human tumor cell lines.,A-172,CCBXXGSAGQNXHX-UHFFFAOYSA-N
CHEMBL103577,,Cc1cnc2c(c1)C(=O)c1cccnc1C2=O,IC50,6.6,CHEMBL801363,In vitro cytotoxic activity against SF-295 (CNS carcinoma) cell lines by using SRB assay,SF295,XVXWDZYWGRHSJR-UHFFFAOYSA-N
CHEMBL3092927,,C=CCCCCOc1ncc(-c2ccccc2OC)n1C,IC50,5.3,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,UPLYWSQTJNMGKG-UHFFFAOYSA-N
CHEMBL392695,S-TRITYL-L-CYSTEINE,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,IC50,5.56,CHEMBL2363664,SANGER: Inhibition of human SNB75 cell growth in a cell viability assay.,SNB-75,DLMYFMLKORXJPO-FQEVSTJZSA-N
CHEMBL300389,,OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,IC50,7.55,CHEMBL2363664,SANGER: Inhibition of human SNB75 cell growth in a cell viability assay.,SNB-75,IYNDTACKOAXKBJ-UHFFFAOYSA-N
CHEMBL135561,,COC(=O)[C@H](CCSC)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1,IC50,4.31,CHEMBL2363664,SANGER: Inhibition of human SNB75 cell growth in a cell viability assay.,SNB-75,GKFPROVOIQKYTO-UZLBHIALSA-N
CHEMBL446473,PHENYLBUTYL ISOTHIOCYANATE,S=C=NCCCCc1ccccc1,IC50,4.46,CHEMBL1014404,Cytotoxicity against human T98G cells after 72 hrs by MTS assay,T98G,CCBQOLFAKKAMLD-UHFFFAOYSA-N
CHEMBL513097,PLAKORTIDE M,CC/C=C/[C@H](CC)C/C=C/[C@@]1(CC)C[C@H](CC)[C@H](CC(=O)O)OO1,IC50,5.75,CHEMBL982259,Cytotoxicity against human SF295 cells,SF295,APFBSUUYUMZERZ-ACISTPACSA-N
CHEMBL119592,,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3ccccc3)cc1OC2(C)C,EC50,5.51,CHEMBL964507,Cytotoxicity against human U87 cells by side flank model relative to control,U-87MG ATCC,GZYXCXRHVALIJD-WOJBJXKFSA-N
CHEMBL159,VINBLASTINE,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,IC50,7.52,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,JXLYSJRDGCGARV-CFWMRBGOSA-N
CHEMBL3545252,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,IC50,8.45,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,XCDIRYDKECHIPE-QHEQPUDQSA-N
CHEMBL252164,LUMINESPIB,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,7.48,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,NDAZATDQFDPQBD-UHFFFAOYSA-N
CHEMBL94657,PATUPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,IC50,7.66,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,QXRSDHAAWVKZLJ-PVYNADRNSA-N
CHEMBL575196,,COC(=O)[C@H](Cc1ccc(O)cc1)N/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/N[C@@H](Cc3ccc(O)cc3)C(=O)OC)C(=O)C(O)=C4C(C)C)c(O)c21,IC50,4.84,CHEMBL1037675,Anticancer activity against human U87 cells after 48 hrs by MTT assay,U-87MG ATCC,AFCGYIWULPMWPT-ZXRMINHTSA-N
CHEMBL575446,,Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NC(C)C)C(=O)C(O)=C3C(C)C)/C(=C/NC(C)C)C(=O)C(O)=C2C(C)C,IC50,4.54,CHEMBL1037675,Anticancer activity against human U87 cells after 48 hrs by MTT assay,U-87MG ATCC,SSSPNLJUJBETHQ-GACBQCINSA-N
CHEMBL446125,FASCAPLYSIN A,CC1=C(CC/C(C)=C/CC/C(C)=C/CCC(CC(=O)O)C(=O)[O-])C(C)(C)CCC1.O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,IC50,5.28,CHEMBL1000757,Antitumor activity against human SNB75 cells,SNB-75,LORHTOVIKVOXSY-YOEDIAEGSA-N
CHEMBL394882,NOR-BETA-LAPACHONE,CC1(C)CC2=C(O1)c1ccccc1C(=O)C2=O,IC50,5.8,CHEMBL1042594,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,DMSVAEFGRLMACV-UHFFFAOYSA-N
CHEMBL53463,DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,IC50,6.39,CHEMBL1042594,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,AOJJSUZBOXZQNB-TZSSRYMLSA-N
CHEMBL571623,,Cc1cc([N+](=O)[O-])ccc1NC1C2=C(OC1(C)C)c1ccccc1C(=O)C2=O,IC50,5.73,CHEMBL1042594,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,QQRVFKSGDWMEIS-UHFFFAOYSA-N
CHEMBL571407,,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1Nc1ccccc1[N+](=O)[O-],IC50,5.75,CHEMBL1042594,Cytotoxicity against human SF295 cells after 72 hrs by MTT assay,SF295,AZERFNFOCUWMHL-UHFFFAOYSA-N
CHEMBL1910998,,Oc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,IC50,8.89,CHEMBL1914069,Inhibition of PIK3CA-mediated cell signaling in PTEN-deficient human U87MG cells assessed as inhibition of insulin-induced pAkt/PKB phosphorylation at Ser473 treated for 15 mins before insulin challenge measured after 5 mins by immunoblotting,U-87MG ATCC,WFRUFWRKGZIARP-UHFFFAOYSA-N
CHEMBL1910999,,COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,IC50,7.26,CHEMBL1914069,Inhibition of PIK3CA-mediated cell signaling in PTEN-deficient human U87MG cells assessed as inhibition of insulin-induced pAkt/PKB phosphorylation at Ser473 treated for 15 mins before insulin challenge measured after 5 mins by immunoblotting,U-87MG ATCC,HQXHYGAANFLAOZ-UHFFFAOYSA-N
CHEMBL1911114,,COc1ccc2c(nc(C(F)F)n2-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c1O,IC50,6.23,CHEMBL1914069,Inhibition of PIK3CA-mediated cell signaling in PTEN-deficient human U87MG cells assessed as inhibition of insulin-induced pAkt/PKB phosphorylation at Ser473 treated for 15 mins before insulin challenge measured after 5 mins by immunoblotting,U-87MG ATCC,JMCCNBLPWHIWCV-UHFFFAOYSA-N
CHEMBL476113,,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)NC1=O,IC50,5.22,CHEMBL986450,Cytotoxicity against human SF295 cells,SF295,RGRWKFDNYSQFBZ-JRBASJLZSA-N
CHEMBL565420,,C[C@@H]1CC[C@H]2[C@H](CBr)CO[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,IC50,4.79,CHEMBL1041736,Anticancer activity against human XF498 cells by sulforhodamine B assay,XF 498,ICJKLGDDPGNBBS-BXPKWHOZSA-N
CHEMBL569090,,C[C@H]1[C@@H](CCSCC[C@H]2O[C@@H]3O[C@]4(C)CC[C@H]5[C@H](C)CCC([C@H]2C)[C@@]35OO4)O[C@@H]2O[C@]3(C)CCC4[C@H](C)CC[C@@H]1[C@]42OO3,IC50,5.26,CHEMBL1041736,Anticancer activity against human XF498 cells by sulforhodamine B assay,XF 498,SONOEGJPRKBJAA-HDHWBIKTSA-N
CHEMBL2180727,,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cn1ccnc1C)c1cccc(F)c1,IC50,7.16,CHEMBL2188258,Inhibition of IDH1 R132H mutant expressed in human U87 cells assessed as inhibition of 2-hydroxyglutarate production after 48 hrs by LC/MS analysis,U-87MG ATCC,FNYGWXSATBUBER-UHFFFAOYSA-N
CHEMBL421,SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,IC50,4.52,CHEMBL1838227,Inhibition of xc-cystine-glutamate antiporter-mediated cystine uptake in human U87 cells using L-[14C]cystine as substrate after 15 mins by liquid scintillation counting,U-87MG ATCC,NCEXYHBECQHGNR-QZQOTICOSA-N
CHEMBL2037445,,C/C(=N/NC(=S)Nc1ccc(Cl)cc1)c1ccccn1,IC50,8.23,CHEMBL2038605,Cytotoxicity against human T98G cells expressing mutant p53 after 48 hrs by MTT assay,T98G,KRCPOZLWYUZVBS-ZDLGFXPLSA-N
CHEMBL1630582,,C/C(=N\NC(=S)Nc1cccc(Cl)c1)c1ccccn1,IC50,9.0,CHEMBL2038605,Cytotoxicity against human T98G cells expressing mutant p53 after 48 hrs by MTT assay,T98G,QJEQNMXYYQUOAY-VCHYOVAHSA-N
CHEMBL44657,ETOPOSIDE,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,IC50,6.34,CHEMBL2038605,Cytotoxicity against human T98G cells expressing mutant p53 after 48 hrs by MTT assay,T98G,VJJPUSNTGOMMGY-MRVIYFEKSA-N
CHEMBL2037449,,C/C(=N/NC(=S)Nc1ccccc1[N+](=O)[O-])c1ccccn1,IC50,8.37,CHEMBL2038604,Cytotoxicity against human U87 cells expressing wild-type p53 after 48 hrs by MTT assay,U-87MG ATCC,MXWJIUNQTNDDFG-YVLHZVERSA-N
CHEMBL1630581,,C/C(=N\NC(=S)Nc1ccccc1Cl)c1ccccn1,IC50,8.59,CHEMBL2038604,Cytotoxicity against human U87 cells expressing wild-type p53 after 48 hrs by MTT assay,U-87MG ATCC,DIAIPLSVPPGTLG-VCHYOVAHSA-N
CHEMBL2037436,,C/C(=N\NC(=S)Nc1cccc(F)c1)c1ccccn1,IC50,7.75,CHEMBL2038604,Cytotoxicity against human U87 cells expressing wild-type p53 after 48 hrs by MTT assay,U-87MG ATCC,VCKFVZSNSWYSKQ-VCHYOVAHSA-N
CHEMBL1771488,,C/C(=N\NC(=S)Nc1ccccc1F)c1ccccn1,IC50,8.3,CHEMBL2038604,Cytotoxicity against human U87 cells expressing wild-type p53 after 48 hrs by MTT assay,U-87MG ATCC,PMHTWYVKIPHSFS-VCHYOVAHSA-N
CHEMBL2037435,,CC(=NNC(=S)Nc1ccc([N+](=O)[O-])cc1)c1ccccn1,IC50,6.8,CHEMBL2038604,Cytotoxicity against human U87 cells expressing wild-type p53 after 48 hrs by MTT assay,U-87MG ATCC,PTOHINKLMXPSKL-UHFFFAOYSA-N
CHEMBL1081853,,N[C@H](CNc1ncc(-c2ccc3[nH]c(=O)sc3c2)s1)Cc1ccc(C(F)(F)F)cc1,IC50,6.04,CHEMBL1102924,Inhibition of human AKT1 in human U87MG cells assessed as PRAS40 phosphorylation after 1 hr by ELISA,U-87MG ATCC,ACASJCMNZMOGPH-AWEZNQCLSA-N
CHEMBL49378,,CCOC(=O)[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)NC(=O)CCCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,IC50,4.68,CHEMBL805826,The compound was tested for cytotoxicity against SF-126 (human) Glioma cell lines,SF126,IDHGEFGDZPCYJX-GDLZYMKVSA-N
CHEMBL2098107,,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc2ccccc2[nH]1,IC50,6.48,CHEMBL5108105,Cytotoxicity against human KNS-42 cells assessed as reduction in cell viability incubated for 72 hrs by PrestoBlue reagent based cell viability assay,KNS-42,YGUDSHJNJUBIHP-UHFFFAOYSA-N
CHEMBL5195215,,O=C(NCc1ccc(F)cc1)c1cc2c(F)cc(F)cc2[nH]1,IC50,5.36,CHEMBL5108106,Antiproliferative activity against human KNS-42 cells assessed as cell growth inhibition incubated for 72 hrs by MTT assay,KNS-42,NALIAYSLJPZACM-UHFFFAOYSA-N
CHEMBL5199446,,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1nc2ccccc2[nH]1,IC50,5.19,CHEMBL5108106,Antiproliferative activity against human KNS-42 cells assessed as cell growth inhibition incubated for 72 hrs by MTT assay,KNS-42,HQTLILQUYCGKIQ-UHFFFAOYSA-N
CHEMBL5201756,,O=C(NC12CC3CC(CC(C3)C1)C2)c1c[nH]c2c(Cl)ccc(Cl)c2c1=O,IC50,5.04,CHEMBL5108105,Cytotoxicity against human KNS-42 cells assessed as reduction in cell viability incubated for 72 hrs by PrestoBlue reagent based cell viability assay,KNS-42,ANMPGAUFPGVOHG-UHFFFAOYSA-N
CHEMBL3092918,,COc1ccccc1-c1cnc(OCCCc2ccccc2)n1C,IC50,5.52,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,IJRQFMLSTLUNTK-UHFFFAOYSA-N
CHEMBL3093026,,Cn1c2cnc1OCCCCCCCCOc1cc(F)ccc1-2,IC50,4.16,CHEMBL3097572,Cytotoxicity against apoptotic-resistant human T98G cells assessed as growth inhibition after 72 hrs by MTT-based colorimetric assay,T98G,CFNQXEGOPRAOTL-UHFFFAOYSA-N
CHEMBL65,CAMPTOTHECIN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,IC50,6.85,CHEMBL624722,In vitro cytotoxicity against A172 human tumor cell lines.,A-172,VSJKWCGYPAHWDS-FQEVSTJZSA-N
CHEMBL125191,,O=C1c2cccnc2-c2nccc3c2c1nc1ccc(N(CCCl)CCCl)cc13,IC50,7.4,CHEMBL815875,In vitro cytotoxicity against human glioblastomas cell line U87MG.,U-87MG ATCC,CDSDBTYEKSPYEZ-UHFFFAOYSA-N
CHEMBL523263,,CN(C)c1ccc(N2C(=O)NC3(CSC4=C3C(=O)c3ncccc3C4=O)C2=O)cc1,IC50,6.1,CHEMBL957401,Antiproliferative activity against human XF498 cells after 96 hrs by MTT assay,XF 498,GFUQYTODWIEYAX-UHFFFAOYSA-N
CHEMBL455132,,O=C1NN(c2ccccc2)C(=O)C2(CSC3=C2C(=O)c2ncccc2C3=O)N1,IC50,5.34,CHEMBL957401,Antiproliferative activity against human XF498 cells after 96 hrs by MTT assay,XF 498,WGKFUFBYBCYABN-UHFFFAOYSA-N
CHEMBL3933347,,COc1ncc(-c2ccc3nccc(-c4ccc(CN5CCCC5)cc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,IC50,6.8,CHEMBL3867030,Cytotoxicity against human U87MG cells after 72 hrs by MTT assay,U-87MG ATCC,LGGXLUJMVMVVOQ-UHFFFAOYSA-N
CHEMBL84,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,IC50,6.8,CHEMBL3265609,Antiproliferative activity against human U87 cells assessed as growth inhibition after 48 hrs by MTT assay,U-87MG ATCC,UCFGDBYHRUNTLO-QHCPKHFHSA-N
CHEMBL53463,DOXORUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,IC50,7.36,CHEMBL923236,Cytotoxicity against human XF498 cells after 3 days by SRB assay,XF 498,AOJJSUZBOXZQNB-TZSSRYMLSA-N
CHEMBL428725,,C[C@@H]1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1c[nH]c2c(-n3cc(CF)nn3)nccc12,IC50,6.62,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,HUZFIDHFHZMOAP-OAHLLOKOSA-N
CHEMBL238265,,C[C@@H]1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1c[nH]c2c(-n3nccn3)ncc(F)c12,IC50,6.21,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,ABWXAJAMZIXGLW-CQSZACIVSA-N
CHEMBL392758,,C[C@@H]1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1c[nH]c2c(-n3cncn3)nccc12,IC50,6.82,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,DLNPHXOJDBJBBK-OAHLLOKOSA-N
CHEMBL393585,,C[C@@H]1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1c[nH]c2ccc(F)cc12,IC50,5.44,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,PAQRKQUUKFOMSK-CQSZACIVSA-N
CHEMBL238074,,C[C@@H]1CN(S(=O)(=O)c2c[nH]c3ncccc23)CCN1C(=O)c1ccccc1,IC50,4.89,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,QGODFPZTUSIJQW-CQSZACIVSA-N
CHEMBL393400,,CC1CN(C(=O)c2cnc3ccccc3n2)CCN1S(=O)(=O)c1c[nH]c2ncccc12,IC50,5.27,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,ANOLRYSIPZVGCW-UHFFFAOYSA-N
CHEMBL236997,,C[C@@H]1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1c[nH]c2ncccc12,IC50,6.07,CHEMBL902989,Antiviral activity against HIV1 pseudovirus in U87 cells expressing CD4 and CCR5 after 72 hrs by M33 pseudotyped assay,U-87MG ATCC,ICLFAMDXSMSQGX-CQSZACIVSA-N
CHEMBL3588942,,CCCC(=O)Oc1ccc(/C=C/COC(C)=O)cc1OC,IC50,4.98,CHEMBL3592118,Antiproliferative activity against human U87MG cells after 72 hrs by sulforhodamine B assay,U-87MG ATCC,HOQXDJJQJVPBRZ-FNORWQNLSA-N
CHEMBL3588939,,COc1cc(/C=C/COC(C)=O)ccc1OC(C)=O,IC50,5.97,CHEMBL3592118,Antiproliferative activity against human U87MG cells after 72 hrs by sulforhodamine B assay,U-87MG ATCC,KCODNVFFXXYJPA-SNAWJCMRSA-N
CHEMBL4099562,,O=C(Nc1ccncc1)Nc1ccc(-c2cc(N3CC4CCC(C3)O4)c3nccn3n2)cc1,IC50,4.93,CHEMBL4009784,Antiproliferative activity against human U87 cells after 72 hrs by SRB assay,U-87MG ATCC,AMGONPXTTMZQRC-UHFFFAOYSA-N
CHEMBL4089423,,C[C@H]1COCCN1c1cc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nn2ccnc12,IC50,5.58,CHEMBL4009784,Antiproliferative activity against human U87 cells after 72 hrs by SRB assay,U-87MG ATCC,AAXLFXKVJQWRCB-NRFANRHFSA-N
CHEMBL4077736,,CCc1cnc2c(N3CCOC[C@@H]3C)cc(-c3ccc(NC(=O)Nc4ccncc4)cc3)nn12,IC50,5.29,CHEMBL4009784,Antiproliferative activity against human U87 cells after 72 hrs by SRB assay,U-87MG ATCC,OECGDPJSTMHVTP-KRWDZBQOSA-N
CHEMBL3290928,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5cccc(F)c5)c(=O)cc4C)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,IC50,5.75,CHEMBL3293741,Cytotoxicity against human U87MG cells assessed as inhibition of cell growth after 72 hrs by MTT assay,U-87MG ATCC,OXESTPIQGJVUCC-UHFFFAOYSA-N
CHEMBL3290917,,COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C)c(=O)cc4C)cc3F)ccnc2cc1OCCCN1CCCCC1,IC50,5.6,CHEMBL3293741,Cytotoxicity against human U87MG cells assessed as inhibition of cell growth after 72 hrs by MTT assay,U-87MG ATCC,NORQIYMCKYRXOJ-UHFFFAOYSA-N
CHEMBL3612309,,COc1ncc(-c2ccc3nc(NC(=O)NC4CC4)sc3c2)cc1NS(=O)(=O)c1ccc(F)cc1,IC50,6.28,CHEMBL3616151,Antiproliferative activity against human U87MG cells incubated for 72 hrs by MTT assay,U-87MG ATCC,SETOUQDIHCNCHQ-UHFFFAOYSA-N
CHEMBL3612318,,COc1ncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)sc3c2)cc1C#N,IC50,5.08,CHEMBL3616151,Antiproliferative activity against human U87MG cells incubated for 72 hrs by MTT assay,U-87MG ATCC,CYWXKRWCESQIOB-UHFFFAOYSA-N
CHEMBL3612322,,COc1ncc(-c2ccc3nc(NC(=O)NCCN4CCOCC4)sc3n2)cc1NS(=O)(=O)c1ccc(F)cc1,IC50,6.32,CHEMBL3616151,Antiproliferative activity against human U87MG cells incubated for 72 hrs by MTT assay,U-87MG ATCC,GCCYGPNWMFOFLT-UHFFFAOYSA-N
CHEMBL1241832,,O=C(N/N=C/c1c(O)ccc2ccccc12)c1cc(-c2ccc3ccccc3c2)n[nH]1,IC50,6.0,CHEMBL1246432,Cytotoxicity against human U87MG cells after 72 hrs by SRB assay,U-87MG ATCC,XOXCTLAKMCIWCF-CVKSISIWSA-N
CHEMBL4864941,,CC12CC3CC(C)(C1)CC(NCc1ccc(C(=O)NO)cc1)(C3)C2,IC50,4.34,CHEMBL4817318,Antiproliferation activity against human U-87 MG cells assessed as growth inhibition measured after 1 hr by MTT assay,U-87MG ATCC,ZGUUWDMEHPPEGH-UHFFFAOYSA-N
CHEMBL4871938,,CC12CC3CC(C)(C1)CC(NCc1ccc(NC(=O)CCCCCCC(=O)NO)cc1)(C3)C2,IC50,5.53,CHEMBL4817318,Antiproliferation activity against human U-87 MG cells assessed as growth inhibition measured after 1 hr by MTT assay,U-87MG ATCC,WLSVOCQBROCUNL-UHFFFAOYSA-N
CHEMBL1201182,TEMSIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,IC50,5.59,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,CBPNZQVSJQDFBE-FUXHJELOSA-N
CHEMBL521686,OLAPARIB,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,IC50,4.17,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,FDLYAMZZIXQODN-UHFFFAOYSA-N
CHEMBL1289926,AXITINIB,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,IC50,4.15,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,RITAVMQDGBJQJZ-FMIVXFBMSA-N
CHEMBL109480,TANESPIMYCIN,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,6.99,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,AYUNIORJHRXIBJ-TXHRRWQRSA-N
CHEMBL1972860,ELESCLOMOL,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,IC50,6.64,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,BKJIXTWSNXCKJH-UHFFFAOYSA-N
CHEMBL202721,,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,IC50,4.66,CHEMBL2363811,SANGER: Inhibition of human U-87-MG cell growth in a cell viability assay.,U-87MG ATCC,OGNYUTNQZVRGMN-UHFFFAOYSA-N
CHEMBL1782902,,COc1cc([C@@H]2c3cc4c(cc3[C@@H](n3cc(CO)nn3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,IC50,5.68,CHEMBL1785372,Cytotoxicity against human SF295 cells after 48 hrs by sulforhodamine B assay,SF295,VYEHKJZEGTZXEK-AZIXLERZSA-N
CHEMBL577784,BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,IC50,5.25,CHEMBL2363664,SANGER: Inhibition of human SNB75 cell growth in a cell viability assay.,SNB-75,VAVXGGRQQJZYBL-UHFFFAOYSA-N
CHEMBL573107,,CC(C)CCN1c2nc(Nc3cc(F)c(O)c(F)c3)ncc2N(C)C(=O)C1C,IC50,4.84,CHEMBL2363664,SANGER: Inhibition of human SNB75 cell growth in a cell viability assay.,SNB-75,DTEKTGDVSARYDS-UHFFFAOYSA-N
CHEMBL1614701,SELUMETINIB,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,IC50,4.22,CHEMBL2363664,SANGER: Inhibition of human SNB75 cell growth in a cell viability assay.,SNB-75,CYOHGALHFOKKQC-UHFFFAOYSA-N
CHEMBL1801204,AZD-8055,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,IC50,5.86,CHEMBL2363740,SANGER: Inhibition of human AM-38 cell growth in a cell viability assay.,AM-38,KVLFRAWTRWDEDF-IRXDYDNUSA-N
