SMILES,Ennustus
CC(CS(=O)(=O)c1ccc2ccccc2c1)N1CCCCCC1,6.157
COc1ccc(cc1)C1C2=C(CCCC2=O)Nc2ccc3ccccc3c12,6.1564
COc1ccc(cc1)C1C2=C(CCCC2=O)Nc2c1ccc1ccccc21,6.1564
CC1CN(CC(C)O1)C(=O)c1sc2cc(Cl)ccc2c1Cl,6.1563
Cc1cc(sc1-c1ccccc1)C(=O)N1CCC[C@]2(CCC[C@H]2O)C1,6.1559
CCC(F)(F)C(=O)N1CC[C@H]([C@H](O)C1)c1ccc2ccccc2c1,6.1559
Cc1cc(sc1-c1ccccc1)C(=O)N1CCC[C@@]2(CCC[C@H]2O)C1,6.1559
FC1CC2CCC(C1)N2C(=O)c1cc2ccccc2s1,6.1537
CC1C(C2c3ccccc3C1c1ccccc21)C(=O)Nc1cccc2ccccc12,6.1536
FC1(F)CC1CC(=O)N1CCC2(CC1)OCCc1sc(cc21)-c1ccccc1,6.1532
CC1(O)N(CCc2cccc3ccccc23)C(=O)c2ccccc12,6.153
ClC1=C(Nc2ccc(Cl)cc2)C(=O)N(C1=O)c1cccc2ccccc12,6.1525
O=C1N(C2CCCCCC2)C(=O)c2cccc3cccc1c23,6.1523
O=C(Nc1cccc2ccccc12)C(C#N)=C1CCCCCC1,6.152
Cc1cc(sc1-c1ccccc1)C(=O)N1[C@H]2CCC[C@@H]1C[C@H](O)C2,6.1519
Cc1ccc(NC2=C(Cl)C(=O)N(C2=O)c2cccc3ccccc23)cc1Cl,6.1518
Cc1cc(C)cc(NC2=C(Cl)C(=O)N(C2=O)c2cccc3ccccc23)c1,6.1517
O=C1c2ccccc2CCCC11N=NCC1c1cccc2ccccc12,6.1514
CN(C)c1cccc2c1C(=O)C=CC21CCc2ccc(N(C)C)c3c(ccc1c23)N(C)C,6.1512
O[C@@H]1CN(CC[C@H]1c1ccc2ccccc2c1)C(=O)CCC(F)(F)F,6.1506
CCc1ccc(NC2=C(Cl)C(=O)N(C2=O)c2cccc3ccccc23)cc1,6.1501
O=C1CCCC2=C1CC1=C(CCCC1=O)N2c1cccc2ccccc12,6.1496
O=C1Nc2ccccc2\C1=N/c1ccc(Oc2ccc3ccccc3c2)cc1,6.1495
[2H]c1c(O)ccc2c3CCC4(C)C(CC([2H])([2H])[C@@H]4O)c3ccc12,6.149
C=C1CC2CCC(C1)N2C(=O)Cc1cccc2ccccc12,6.1489
CC12CC1CN(C2)C(=O)c1cc2ccccc2s1,6.1481
CC12CC(CC(C)(C)C1)N(C2)C(=O)c1cccc2ccccc12,6.1477
CC1CN(CC(C)O1)C(=O)c1sc2cc(C)ccc2c1Cl,6.1476
CN(Cc1sc2ccccc2c1Cl)C(=O)[C@H]1CCC[C@@H](O)C1,6.1465
CN(Cc1sc2ccccc2c1Cl)C(=O)[C@H]1CCC[C@H](O)C1,6.1465
COCC1(CC1)C(=O)N1CCC2(CC1)OCCc1sc(cc21)-c1ccccc1,6.1463
COc1ccc2cc(ccc2c1)C1CN(CCCF)CCO1,6.1451
O=C(Nc1cccc2ccccc12)C1CC2c3ccccc3C1c1ccccc21,6.145
COCC[C@]1(O)CCN(Cc2c(C)sc3ccccc23)C[C@H]1C,6.1449
CC1(C)OC(C)(C)\C(=C/Nc2ccc3ccccc3c2)C1=O,6.1446
CS(=O)(=O)N1CCSC1c1ccc2CCCc3cccc1c23,6.1436
O=C1CC2(CCCC2)CC(=O)N1Cc1csc2ccccc12,6.1415
O=C(N1CCC(C1)c1ccc2OCOc2c1)c1cc2ccccc2s1,6.1411
CC(C)c1cc2ccc(C)c3[C@@H]4OC(C)(C)C[C@@H]4Oc(c1O)c23,6.1409
COc1ccc2NC(C)(C)C(=S)\C(=C3/SC(C(C)=O)=C(S3)c3ccccc3)c2c1,6.1408
O=C(Cc1cccc2ccccc12)N1C2CCC1C=CC2,6.14
CC(CS(=O)(=O)c1ccc2ccccc2c1)N1CCCC(C)C1,6.1395
CC1CN(CC(C)O1)C(=O)c1sc2ccccc2c1Cl,6.1392
O=C(C1CCOCC1)N1CCC2(CC1)OCCc1sc(cc21)-c1ccccc1,6.1389
Cc1ccc(cc1)N1C(=O)CC(Sc2ccc3ccccc3c2)C1=O,6.1377
CC1(C)C(C(=O)Nc2cccc3ccccc23)C1(C)C,6.1375
COc1ccc(NC(=O)C23CC4CC(CC(C4)C2)C3)c2ccccc12,6.137
CC1=CC2C(CC1COC(=O)Nc1cccc3ccccc13)C2(C)C,6.137
COc1c(sc2cccc(F)c12)C(=O)N1CCN(CC1)c1ccccc1C,6.1362
Cc1cc(sc1-c1ccccc1)C(=O)N1CCC(CC1)C1(O)CC1,6.1362
COc1c(sc2cccc(F)c12)C(=O)N1CCN(CC1)c1ccc(C)cc1,6.1362
CC1(O)CCOC2(CCN(Cc3sc4ccccc4c3Cl)CC2)C1,6.1362
COc1ccccc1C1C2=C(CC(C)(C)CC2=O)Nc2ccc3ccccc3c12,6.136
COc1cccc(c1)C1C2=C(CC(C)(C)CC2=O)Nc2ccc3ccccc3c12,6.136
CCOc1ccc2ccccc2c1CN1CCOC(C1)C(F)(F)F,6.1356
O[C@@H]1CCC[C@]11CCCN(C1)C(=O)Cc1ccc2ccccc2c1,6.1352
O[C@@H]1CCC[C@@]11CCCN(C1)C(=O)c1cccc2c(Cl)cccc12,6.1352
O[C@@H]1CCC[C@@]11CCCN(C1)C(=O)c1ccc2ccccc2c1,6.1352
O[C@@H]1CCC[C@]11CCCN(C1)C(=O)c1ccc2ccccc2c1,6.1352
OC(=O)C1(CCCC1)c1cccc2ccccc12,6.1347
COc1c(sc2cccc(F)c12)C(=O)N1CCCC1,6.1345
FC(F)(F)C(=O)c1cc2c(NC3CCC2(O3)C(F)(F)F)c2ccccc12,6.1344
CSC1CC2CCC(C1)N2C(=O)Cc1cccc2ccccc12,6.1341
CC1N(Cc2c(F)cccc2F)CCN(C1=O)c1cccc2ccccc12,6.1334
COc1ccc(N\N=C2\Sc3ccc4ccccc4c3C2=O)cc1,6.1334
COc1ccccc1N\N=C1/Sc2c(ccc3ccccc23)C1=O,6.1334
Cc1c(sc2ccc(Cl)cc12)C1=NOC(O)(C1)C(F)(F)F,6.1332
O=C1CC(Sc2ccc3ccccc3c2)C(=O)N1c1ccccc1,6.1329
COc1c(sc2ccc(F)cc12)C(=O)N1CCN(CC1)c1ccccc1C,6.1326
COc1c(sc2ccc(F)cc12)C(=O)N1CCN(CC1)c1ccc(C)cc1,6.1326
CN1C2=C(C(C3=C1CCCC3=O)c1cccc3ccccc13)C(=O)CCC2,6.1322
COc1cc(cc(OC)c1OC)C1Nc2c(ccc3ccccc23)C2C=CCC12,6.1318
CC1CCCCN1C(=O)c1sc2ccccc2c1Cl,6.1317
CC1CCCN(C1)C(=O)c1sc2ccccc2c1Cl,6.1317
NC(=O)c1c2CCCCc2sc1\N=C\c1ccc2ccccc2c1,6.1315
[2H]c1c([2H])c2c3c(c([2H])c([2H])c([2H])c3c1[2H])C([2H])([2H])C2([2H])[2H],6.1314
O=C1CSC2(CCCCC2)N1c1ccc2ccccc2c1,6.131
NC1CCN(C1)c1cccc2ccccc12,6.1308
OC1(CC(=NO1)c1ccc2ccccc2c1)C(F)(F)F,6.1306
Clc1c(sc2cc(Cl)ccc12)C(=O)Nc1ccc(cc1)N1CCOCC1,6.1304
Clc1c(sc2ccccc12)C(=O)Nc1cc(Cl)ccc1N1CCOCC1,6.1304
Clc1c(sc2cc(Cl)ccc12)C(=O)Nc1ccccc1N1CCOCC1,6.1304
Clc1c(sc2ccccc12)C(=O)Nc1ccc(cc1)N1CCOCC1,6.1304
Clc1c(sc2ccccc12)C(=O)Nc1ccc(N2CCOCC2)c(Cl)c1,6.1304
Clc1c(sc2ccccc12)C(=O)Nc1cccc(Cl)c1N1CCOCC1,6.1304
CC1CCCCN1C(=O)c1sc2cc(Cl)ccc2c1Cl,6.1301
CC1CCCCN1C(=O)c1sc2cc(C)ccc2c1Cl,6.1301
CC1CCC2(CC1)SCC(=O)N2c1ccc2ccccc2c1,6.1301
CC1(C)COC(=N1)c1sc2ccccc2c1Cl,6.1289
Oc1ccc2ccccc2c1\C=N\C1=C(CCC1)C#N,6.1284
ClC1(Cl)CC1CS(=O)(=O)c1ccc2ccccc2c1,6.1284
COC1CCCN(Cc2cc3ccccc3s2)C1,6.128
O[C@@H]1CCC[C@]11CCCN(C1)C(=O)c1cc2ccccc2s1,6.1266
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cccc2ccccc12,6.1262
C[C@@H]1COC(=N1)c1cc2ccccc2s1,6.1261
C[C@H]1COC(=N1)c1cc2ccccc2s1,6.1261
OC(=O)C1Cc2cccc3cccc1c23,6.1259
Cc1ccc(s1)-c1cc(O)c2OCCN(CCF)Cc2c1,6.1259
CN1\C(=C\C2CC(=O)N(C2=O)c2cccc3ccccc23)C(C)(C)c2ccccc12,6.1257
O=C1CCC2N1CCc1c2ccc2ccccc12,6.1255
