SMILES,Ennustus
OC(=O)[C@H]1C[C@H](C1)c1ccccc1,[4.787]
OCC1CC(C1)C(F)(F)F,[4.9248]
Cl.Oc1ccc(cc1)C1CCCNC1,[4.8898]
Cc1cc(CCC#N)ccc1O,[4.8347]
Cl.NC1CC(CC(F)(F)F)C1,[4.9103]
Fc1nccc2ccccc12,[5.2984]
Cc1cc(F)cc(O)c1Cl,[4.6073]
Cl.CNC(c1ccccc1)c1ccccc1,[4.7887]
CCOC(C)c1ccc(cc1)-c1c(C)noc1C,[5.1413]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)Cc1ccc(cc1)C(F)(F)F,[5.1238]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1c(F)ccc(C)c1F,[5.1342]
Cc1cccc(F)c1C(=O)N1C[C@@H](O[C@@H](C1)c1ccccc1)C1CC1,[5.4506]
C(C#Cc1ccc(CN2CCCCC2)cn1)C1CCCC1,[5.0403]
Cn1c(cc2cccc(Cl)c12)C(=O)N1C[C@@H](O[C@@H](C1)c1ccccc1)C1CC1,[5.3671]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)CCCc1ccccc1,[5.0671]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,[5.0027]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1ccccc1-c1cccc(C)c1,[5.5568]
COc1ccc(cc1F)-c1sc(C)nc1C,[5.536]
CCC1CCCN(CC1)c1nc(C)ncc1CC,[5.414]
CC1(C)[C@@H]2C[C@H]1C(CN1CCCN(CC1)C(=O)c1ccc(F)cc1F)=CC2,[5.2003]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)C(C)(C)Oc1cc(C)c(Cl)c(C)c1,[5.0517]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(Cl)ccc1C,[5.0324]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1c(F)cccc1Cl,[5.3486]
CCC1CN(Cc2ccc(c(F)c2)C(F)(F)F)CCN1C(C)C,[5.2824]
OC[C@@]1(Cc2ccccc2)CN(Cc2csc3ccccc23)CC[C@@H]1O,[5.937]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)CC(c1ccccc1)c1ccccc1,[5.2981]
CC(C)c1ccc(cc1)-c1csc(NC(=O)CC2CCCOC2)n1,[5.2823]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1coc2c(C)c(C)cc(C)c12,[5.4706]
CC(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1cccc2C(=O)CCc12,[4.6329]
Cc1ccc(SC2CCN(CC2)c2ncccc2C(=O)N2CCCC2)cc1,[5.3119]
CCc1ccc(CN2CCCN(CC2)C(=O)c2cc(F)ccc2F)s1,[5.0303]
CN(Cc1ccc(C)c2ccccc12)[C@H]1C[C@H]2CN(C)C(=O)C[C@H]2C1,[5.8373]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1cccc(F)c1F,[5.2673]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(Cl)ccc1F,[4.9796]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1cccc(Cl)c1,[5.0334]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1c(C)cccc1F,[5.3486]
CC(C)(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1ccc2ncsc2c1,[5.9165]
CCCOC1CCCN(C1)c1nccc2ccccc12,[5.6799]
CN(Cc1cccc2c1oc1ccccc21)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.4644]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CCc1ccccc1Cl,[5.0114]
COc1cccc2c(C)cc(nc12)N1CCCC1c1ccc(CN(C)C)cc1,[5.0102]
Cc1cc(nc2cc3CCCc3cc12)N1CCCN2CCC[C@H]2C1,[5.5403]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1c(C)cc(C)cc1C,[4.9987]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1ccc(cc1)C(C)(C)C,[5.0623]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1ccc(Cl)c(C)c1,[5.0818]
CC(C)(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1ccc(F)cc1F,[5.3785]
CCC(NC1CSCCSC1)c1ccc(F)cc1,[5.1093]
CN(Cc1cccc(F)c1C(F)(F)F)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.1052]
O[C@@H]1CN(C[C@H]1Cc1ccc2ccccc2n1)C(=O)C1(CCCCC1)c1ccccc1,[5.2115]
Cc1cccc(c1)C1CCCN(CC(=O)NCc2ccccc2F)C1,[5.2912]
Cc1cccc(OC2CN(C2)c2ncc(Cl)cc2F)c1,[4.827]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(C)c(Cl)c1,[5.0483]
CN(CCN(C)c1nccc2ccccc12)C1CCCC1,[5.5959]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cc(Cl)ccc1F,[5.0225]
CN(Cc1ccc(Cl)s1)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[4.9482]
COc1ccc(F)cc1-c1cccc(n1)C(C)C,[4.9591]
C[C@H]1CN(C[C@@H](C)O1)c1cc(C)c2cc3CCCc3cc2n1,[5.5627]
Cc1nc(C)c(s1)C(=O)N1C[C@H](O[C@H](C1)C(C)(C)C)c1ccccc1,[5.2208]
Cc1cccnc1CN1CCN(CC1)c1cc(C)c2cc3CCCc3cc2n1,[4.9473]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1ccccc1-c1ccccc1F,[5.4132]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1ccc(Cl)c(Cl)c1,[5.0483]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cc(Cl)cc(Cl)c1,[5.0956]
CC(C)(C)[C@H]1CN(C[C@H](O1)c1ccccc1)C(=O)c1cccc2C(=O)CCc12,[4.6289]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1c(F)cccc1Cl,[4.9307]
Cc1cc(nc2cc3CCCc3cc12)N1CCCN(Cc2ccccn2)CC1,[5.2572]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)Cc1ccc(F)cc1F,[5.1355]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)Cc1cccc2ccccc12,[6.0954]
Fc1ccccc1OC1CCN(Cc2cccc(c2)C#N)CC1,[5.1548]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1ccc(Cl)cc1F,[5.0437]
O[C@@H]1CN(Cc2ccc(F)c(Cl)c2)C[C@H]1Cc1ccc2ccccc2n1,[5.373]
CN(Cc1ccc(C)c2ccccc12)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[6.041]
CN(CCc1scnc1C)c1nc2ccccc2s1,[5.515]
CN([C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1)C(=O)c1cc2ccccc2s1,[6.0962]
CN(Cc1ccc2cc(Cl)ccc2n1)[C@@H]1C[C@@H]2C[C@H](O)C[C@@H]2C1,[5.5689]
Cc1cccc(c1)-c1cccc(c1)C(=O)N[C@H]1COC[C@H]1Cc1ccncc1,[5.2823]
Clc1ccc(cc1)C1(CCC1)C(=O)N[C@H]1COC[C@H]1Cc1ccnc2ccccc12,[5.234]
CN(CC(C)(C)CO)c1cc(C)c2cc(F)ccc2n1,[5.0117]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc(C)cc(Cl)c1,[5.0307]
CC1=C(CN2C[C@@H](O)[C@H](Cc3ccncc3)C2)C(C)(C)CCC1,[5.1462]
O[C@@H]1CN(C[C@H]1Cc1ccnc2ccccc12)C1CCCCCC1,[5.5781]
CCCC[C@@H]1CN(C[C@@H](O1)C1CC1)C(=O)c1c(F)cccc1F,[5.2702]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)CCc1ccc(F)cc1,[4.9203]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)c1cc2ccccc2s1,[5.8721]
CN(C)[C@H]1C[C@H]2C[C@H](C[C@H]2C1)N(C)C(=O)Cc1cc(C)ccc1C,[4.9998]
Cc1cc(nc2cc3CCCc3cc12)N1CCCC(C1)OCc1cccnc1,[5.5557]
O[C@@H]1CN(Cc2ccc(s2)C2CCCC2)C[C@H]1Cc1ccncc1,[5.5001]
