,HallKierAlpha,VSA_EState2,AvgIpc,TPSA,VSA_EState4,SMR_VSA3,SlogP_VSA8,SPS,VSA_EState1
HallKierAlpha,1.0,-0.5590206998893096,-0.48474464652016946,-0.15083787456337103,0.11216263446365986,-0.6140669346960862,-0.5873045414506329,0.49566299052075696,-0.43637674527074394
VSA_EState2,-0.5590206998893096,1.0,0.20980605516863815,0.2845264265295057,-0.2602885241885192,0.41661750490801797,0.14400631401011665,-0.09395929892782286,0.0606282868375705
AvgIpc,-0.48474464652016946,0.20980605516863815,1.0,-0.22247259922241333,0.0667976448446709,0.5399567894791699,0.3905789188027528,-0.2956631587505338,0.15224581498723788
TPSA,-0.15083787456337103,0.2845264265295057,-0.22247259922241333,1.0,-0.2570449311032564,0.14611327288231307,-0.09599752815221421,0.47293261845612256,0.27457960780453544
VSA_EState4,0.11216263446365986,-0.2602885241885192,0.0667976448446709,-0.2570449311032564,1.0,-0.03379931739719056,0.1931858338831221,-0.20942136982801474,-0.5793728967848483
SMR_VSA3,-0.6140669346960862,0.41661750490801797,0.5399567894791699,0.14611327288231307,-0.03379931739719056,1.0,0.4401642076890623,-0.42899336777651825,0.24141078795580123
SlogP_VSA8,-0.5873045414506329,0.14400631401011665,0.3905789188027528,-0.09599752815221421,0.1931858338831221,0.4401642076890623,1.0,-0.4084156875791823,0.21954365396579956
SPS,0.49566299052075696,-0.09395929892782286,-0.2956631587505338,0.47293261845612256,-0.20942136982801474,-0.42899336777651825,-0.4084156875791823,1.0,0.015040248836188883
VSA_EState1,-0.43637674527074394,0.0606282868375705,0.15224581498723788,0.27457960780453544,-0.5793728967848483,0.24141078795580123,0.21954365396579956,0.015040248836188883,1.0
