,nr_tunnused,mse,oob
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",5,-0.214,0.607
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",7,-0.229,0.607
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT')",4,-0.196,0.606
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",5,-0.21,0.606
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",4,-0.198,0.605
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'AvgIpc')",5,-0.207,0.605
"('HallKierAlpha', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.226,0.605
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",6,-0.219,0.604
"('SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.233,0.604
"('TPSA', 'BertzCT', 'VSA_EState4', 'AvgIpc')",4,-0.206,0.603
"('VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.217,0.603
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",4,-0.206,0.602
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",5,-0.215,0.602
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'AvgIpc')",6,-0.222,0.602
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",5,-0.207,0.601
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4')",4,-0.209,0.601
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'AvgIpc')",6,-0.209,0.601
"('HallKierAlpha', 'VSA_EState2', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",6,-0.223,0.601
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",5,-0.2,0.6
"('HallKierAlpha', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",4,-0.204,0.6
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",6,-0.223,0.6
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",4,-0.226,0.6
"('TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3')",4,-0.199,0.599
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'BertzCT', 'AvgIpc')",5,-0.208,0.599
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",6,-0.209,0.597
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",4,-0.216,0.597
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",6,-0.215,0.596
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'VSA_EState4', 'SMR_VSA3')",5,-0.213,0.595
"('SlogP_VSA8', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",4,-0.24,0.595
"('HallKierAlpha', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.227,0.594
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'SMR_VSA3', 'AvgIpc')",6,-0.236,0.594
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8')",3,-0.208,0.593
"('TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",5,-0.221,0.593
"('HallKierAlpha', 'TPSA', 'BertzCT', 'VSA_EState4', 'AvgIpc')",5,-0.221,0.593
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'BertzCT', 'SMR_VSA3')",5,-0.227,0.593
"('TPSA', 'SlogP_VSA8', 'BertzCT')",3,-0.189,0.592
"('BertzCT', 'VSA_EState4', 'SMR_VSA3', 'AvgIpc')",4,-0.241,0.592
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT', 'VSA_EState4')",6,-0.206,0.591
"('HallKierAlpha', 'TPSA', 'SlogP_VSA8', 'VSA_EState4')",4,-0.21,0.591
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3')",5,-0.21,0.591
"('VSA_EState2', 'SlogP_VSA8', 'BertzCT')",3,-0.212,0.591
"('HallKierAlpha', 'VSA_EState2', 'SlogP_VSA8', 'SMR_VSA3')",4,-0.217,0.591
"('HallKierAlpha', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",4,-0.211,0.59
"('VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4', 'SMR_VSA3')",5,-0.218,0.59
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'BertzCT')",5,-0.208,0.589
"('HallKierAlpha', 'VSA_EState2', 'TPSA', 'SlogP_VSA8', 'VSA_EState4')",5,-0.209,0.589
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'AvgIpc')",4,-0.197,0.588
"('VSA_EState2', 'TPSA', 'SlogP_VSA8', 'SMR_VSA3', 'AvgIpc')",5,-0.211,0.588
"('VSA_EState2', 'TPSA', 'BertzCT', 'VSA_EState4')",4,-0.223,0.588
